ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,ของคาวหรือหวาน,query1 อยากกินอาหารครบ,query2,query3
วิธีทำเต้าส่วน,"{'ถั่วเขียวเลาะเปลือก': '250 กรัม', 'น้ำเปล่า': '450 ml.', 'น้ำตาลทราย': '250 กรัม', 'เกลือ': '1 ช้อนชา', 'หัวกะทิ': '300 ml.', 'แป้งท้าวยายม่อม': '2 ช้อนโต๊ะ', 'แป้งมัน': '2 ช้อนโต๊ะ', 'น้ำเปล่าผสมแป้งให้ละลาย': '4 ช้อนโต๊ะ'}",31.62,128.11,106.77,1706.55,"ถั่วเขียวเลาะเปลือก, 250 กรัม
น้ำเปล่า, 450 ml.
น้ำตาลทราย, 250 กรัม
เกลือ, 1 ช้อนชา
หัวกะทิ, 300 ml.
แป้งท้าวยายม่อม, 2 ช้อนโต๊ะ
แป้งมัน, 2 ช้อนโต๊ะ
น้ำเปล่าผสมแป้งให้ละลาย, 4 ช้อนโต๊ะ",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"ถั่วเขียว, น้ำเปล่า, น้ำตาลทราย, เกลือ, หัวกะทิ, แป้งท้าวยายม่อม, แป้งมัน, น้ำเปล่า",ของหวาน,มีถั่วเขียว น้ำเปล่า เกลือ น้ตาล แป้ง กะทิ ใบเตย อยากเอามาทำขนมหวาน,อยากได้เมนูถั่วเขียวเนื้อนุ่ม หอมกะทิ หวานเค็มกำลังดี กินแล้วชื่นใจ,หาของหวานแบบไทยๆ ใส่ถั่วเขียว น้ำตาล หัวกะทิ กินร้อนๆ คล่องคอ
วุ้นกะทิมะพร้าวน้ำหอม,"{'น้ำมะพร้าวน้ำหอม': '350 ml', 'น้ำเปล่า': '250 ml', 'เนื้อมะพร้าวอ่อน': '', 'หัวกะทิ': '300 ml', 'ผงวุ้น': '1 1/2 ช้อนโต๊ะ', 'น้ำตาลทราย': '80 กรัม', 'เกลือ': '3/4 ช้อนชา'}",8.6,109.89,141.77,1590.49,"น้ำมะพร้าวน้ำหอม, 350 ml
น้ำเปล่า, 250 ml
เนื้อมะพร้าวอ่อน-
หัวกะทิ, 300 ml
ผงวุ้น, 1 1/2 ช้อนโต๊ะ
น้ำตาลทราย, 80 กรัม
เกลือ, 3/4 ช้อนชา",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"น้ำมะพร้าว, น้ำเปล่า, เนื้อมะพร้าวอ่อน, หัวกะทิ, ผงวุ้น, น้ำตาลทราย, เกลือ",ของหวาน,อยาเอาน้ำมะพร้าวน้ำหอมมาแปรรูปเป็นวุ่น ใส่กะทิ เพิ่มไปด้วย,มองหาขนมวุ้นเนื้อนุ่มหอมมะพร้าว น้ำกะทิหวานเค็มนิดๆ เย็นสดชื่น,อยากกินขนมวุ้นน้ำมะพร้าวอ่อนใส่หัวกะทิ หวานละมุน เคี้ยวเพลิน
วุ้นเส้นผัดไข่,"{'วุ้นเส้น': '100 กรัม', 'มะเขือเทศ': '1 ลูก', 'ต้นหอม/คื่นไช้': '1 กำ', 'ผักกาดขาว': '2 ใบ', 'ไข่ไก่': '2 ฟอง', 'ซีอิ๊วดำ': '1 ช้อนชา', 'น้ำมันหอย': '2 ช้อนโต๊ะ', 'น้ำเปล่า': '1 ทัพพี', 'กระเทียมไทย': '10 กลีบ', 'น้ำมันพืช': '1 ช้อนชา'}",29.12,332.09,45.4,3286.89,"วุ้นเส้น:, 100 กรัม
มะเขือเทศ:, 1 ลูก
ต้นหอม/คื่นไช้:, 1 กำ
ผักกาดขาว:, 2 ใบ
ไข่ไก่:, 2 ฟอง
ซีอิ๊วดำ:, 1 ช้อนชา
น้ำมันหอย:, 2 ช้อนโต๊ะ
น้ำเปล่า:, 1 ทัพพี
กระเทียมไทย:, 10 กลีบ
น้ำมันพืช:, 1 ช้อนชา",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"วุ้นเส้น,  มะเขือเทศ,  ต้นหอม,  ผักกาดขาว,  ไข่ไก่,  ซีอิ๊วดำ,  น้ำมันหอย,  น้ำเปล่า,  กระเทียมไทย,  น้ำมันพืช",ของคาว,อยากกิน วุ้นเส้น แต่เอาไปทำอาหารกับมะเขือเทศ ผักกาด ไข่ขาว ซีอิ้ว ,อยากทำอาหารที่ใช้ มะเขือเทศ ผักนิดหน่อย รสออกหวานเค็ม,อยากได้เมนูวุ้นเส้นแบบง่ายๆ ใส่ไข่ ผัดกับผักและซีอิ๊วดำหอมๆ
สตูไก่ สูตรไม่ใส่เครื่องเทศ,"{'สะโพกไก่': '3 ชิ้น', 'เกลือ': '1/2 ช้อนชา', 'พริกไทย': '1/2 ช้อนชา', 'มันฝรั่ง': '2 หัว', 'แครอท': '2 หัว', 'แป้งสาลี': '3 ช้อนโต๊ะ', 'น้ำมัน': '1/2 ถ้วย', 'เนย': '2 ช้อนโต๊ะ', 'กระเทียม': '4 กลีบ', 'หอมแขก': '1 หัว', 'ผงปรุงรส': '2 ก้อน', 'ซอสมะเขือเทศ': '1 ถ้วย'}",30.5,219.54,47.31,2287.1,"สะโพกไก่:, 3 ชิ้น
เกลือ:, 1/2 ช้อนชา
พริกไทย:, 1/2 ช้อนชา
มันฝรั่ง:, 2 หัว
แครอท:, 2 หัว
แป้งสาลี:, 3 ช้อนโต๊ะ
น้ำมัน:, 1/2 ถ้วย
เนย:, 2 ช้อนโต๊ะ
กระเทียม:, 4 กลีบ
หอมแขก:, 1 หัว
ผงปรุงรส:, 2 ก้อน
ซอสมะเขือเทศ:, 1 ถ้วย",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"สะโพกไก่,  เกลือ,  พริกไทย,  มันฝรั่ง,  แครอท,  แป้งสาลี,  น้ำมัน,  เนย,  กระเทียม,  หอม,  ผงปรุงรส,  ซอสมะเขือเทศ",ของคาว,อยากกินสตูไก่,เมนูตุ๋นไก่นุ่มๆ ไม่ใส่เครื่องเทศหนัก รสกลมกล่อมแบบโฮมเมด,หากับข้าวตุ๋นไก่ใส่มันฝรั่ง แครอท ซอสมะเขือเทศ ซดสบายท้อง
สปาเก็ตตี้ขี้เมาทะเล,"{'เส้นสปาเก็ตตี้': '60 กรัม', 'เนื้อหมู': '30 กรัม', 'เนื้อกุ้ง': '4-5 ตัว', 'ปลาหมึกสด': '4-5 ชิ้น', 'เห็ดออรินจิ': '2 ดอก', 'ใบกะเพรา': '1 ต้น', 'ผัก (ข้าวโพดอ่อน, มะเขือเทศ, หอมใหญ่)': 'ตามชอบ', 'พริกกระเทียมสับ': '1 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนชา', 'น้ำปลา': '1 ช้อนชา', 'ซีอิ๊วดำ': '1/4 ช้อนชา', 'น้ำตาล': '1/4 ช้อนชา', 'น้ำมัน': '2 ช้อนโต๊ะ'}",67.15,215.4,16.76,2274.24,"ใบกะเพรา, 1 ต้น
เส้นสปาเก็ตตี้, 60 กรัม
เห็ดออรินจิ, 2 ดอก
เนื้อหมู, 30 กรัม
เนื้อกุ้ง, 4-5 ตัว
ปลาหมึกสด, 4-5 ชิ้น
ผัก (ข้าวโพดอ่อน
มะเขือเทศ
หอมใหญ่)ตามชอบ
พริกกระเทียมสับ, 1 ช้อนโต๊ะ
ซอสหอยนางรม, 1 ช้อนโต๊ะ
ซีอิ๊วขาว, 1 ช้อนชา
น้ำปลา, 1 ช้อนชา
ซีอิ๊วดำ, 1/4 ช้อนชา
น้ำตาล, 1/4 ช้อนชา
น้ำมัน, 2 ช้อนโต๊ะ",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บน้อย,"ใบกะเพรา, เส้นสปาเก็ตตี้, เห็ด, เนื้อหมู, กุ้ง, ปลาหมึก, ผัก, พริก, กระเทียม, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำปลา, ซีอิ๊วดำ, น้ำตาล, น้ำมัน",ของคาว,มีใบกะเพรา เห็ด เส้นสปาเก็ตตี้ ะริก กระเทียม กุ้ง ทำเมนูเผ็ด เค็ม อร่อย ,อยากกินเมนูเส้นเผ็ดๆ มีซีฟู้ดครบ ทั้งกุ้ง หมึก หมู ผัดพริกกระเทียมหอมๆ,"เส้นลวกคลุกพริก กระเทียม กะเพรา เครื่องทะเลแน่นๆ 
"
สปาเก็ตตี้คาโบนาราไข่เค็ม,"{'เส้นสปาเกตตี้': '200 กรัม', 'ครีม': '200 กรัม', 'เบคอน': '50 กรัม', 'หอมหัวใหญ่': '50 กรัม', 'กระเทียม': '10 กรัม', 'พาเมซานชีส': '30 กรัม', 'ไข่แดงเค็ม': '2 ฟอง', 'เกลือ': '1 ช้อนชา', 'พริกไทย': '1 ช้อนชา', 'พาร์สลีย์': 'สำหรับตกแต่ง'}",29.27,95.23,51.25,1179.15,"เส้นสปาเกตตี้, 200 กรัม
ครีม, 200 กรัม
เบคอน, 50 กรัม
หอมหัวใหญ่, 50 กรัม
กระเทียม, 10 กรัม
พาเมซานชีส, 30 กรัม
ไข่แดงเค็ม, 2 ฟอง
เกลือ, 1 ช้อนชา
พริกไทย, 1 ช้อนชา
พาร์สลีย์สำหรับตกแต่ง",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"เส้นสปาเกตตี้, ครีม, เบคอน, หอมหัวใหญ่, กระเทียม, ชีส, ไข่แดง, เกลือ, พริกไทย, พาร์สลีย์",ของคาว,มีเส้นสปาเก็ตตี้เหลือจากครั้งที่แล้ว นอกจากนี้ได้ไปซื้อวัตถุดิบเพิ่ม เบคอน ครีม หอมหัวใหญ่ ชีส ไข่แดง ,อยากทำเมนูเส้นครีมซอสเค็มมัน หอมกลิ่นไข่เค็ม ใส่เบคอน ชีสเต็มๆ,หาอะไรฟินๆ มันๆ ใส่ครีม ชีส ไข่แดง กับเบคอนผัดหอมๆ
ส้มตำข้าวโพด ฉบับมือใหม่หัดแซ่บ,"{'แครอท': 'ตามชอบ', 'เส้นมะละกอ': 'ตามชอบ', 'ข้าวโพด': '1/3 ฝัก', 'ถั่วฝักยาว': '1 1/2 ต้น', 'ถั่วลิสง': '1 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1 1/3 ช้อนโต๊ะ', 'น้ำปลา': '2 ช้อนโต๊ะ', 'เกลือ': '1 ช้อนชา', 'น้ำมะนาว': '2 ช้อนโต๊ะ', 'พริกขี้หนู': 'ตามชอบ', 'กระเทียม': '2 กลีบ', 'มะเขือเทศ': 'ตามชอบ', 'กุ้งแห้ง': 'ตามชอบ'}",67.61,231.22,171.04,3035.58,"แครอท: ตามชอบ
เส้นมะละกอ: ตามชอบ
ข้าวโพด:, 1/3 ฝัก
ถั่วฝักยาว:, 1 1/2 ต้น
ถั่วลิสง:, 1ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1 1/3 ช้อนโต๊ะ
น้ำปลา:, 2 ช้อนโต๊ะ
เกลือ:, 1 ช้อนชา
น้ำมะนาว:, 2 ช้อนโต๊ะ
พริกขี้หนู: ตามชอบ
กระเทียม:, 2 กลีบ
มะเขือเทศ: ตามชอบ
กุ้งแห้ง: ตามชอบ",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"แครอท, มะละกอ,, ข้าวโพด,  ถั่วฝักยาว,  ถั่วลิสง,  น้ำตาลปี๊บ,  น้ำปลา,  เกลือ,  น้ำมะนาว,  พริกขี้หนู, กระเทียม,  มะเขือเทศ, กุ้งแห้ง",ของคาว,มีข้าวโพด แครอท มะละกอ ถั่ว กระเทียม พริก กุ้งแห้ง อยากกินส้มตำนัวๆ,อยากทำตำรสเปรี้ยวหวานกำลังดี ใส่ข้าวโพด มะละกอ กุ้งแห้ง น้ำปลาร้าเบาๆ,ทำอาหารที่มีข้าวโพดเยอะๆ แครอท มะละกอ รสแซ่บ
ส้มตำถาดแซลมอน,"{'เนื้อปลาแซลมอน': '1 แพ็ค', 'มะละกอดิบหั่นเส้น': '1 ลูก', 'มะเขือเทศสีดาหั่นชิ้น': '4 ลูก', 'น้ำมะนาว': '3 ลูก', 'พริกแดงจินดา': '20 เม็ด', 'ผักชีใบเลื่อยซอย': '6 ใบ', 'น้ำปลาร้า': '3 ทัพพี', 'น้ำตาลปี๊บ': '1 ช้อนชา', 'น้ำปลา': '1/2 ทัพพี'}",35.22,205.42,160.28,2630.78,"เนื้อปลาแซลมอม, 1 แพ็ค
มะละกอ, 1 ลูก
มะเขือเทศสีดา, 4 ลูก
น้ำมะนาว, 3 ลูก
พริกแดงจินดา, 20 เม็ด
ผักชีใบเลื่อยซอย, 6 ใบ
น้ำปลาร้า, 3 ทัพพี
น้ำตาลปี๊บ, 1 ช้อนชา
น้ำปลา, 1/2 ทัพพี",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"เนื้อปลาแซลมอม, มะละกอ, มะเขือเทศ, น้ำมะนาว, พริกแดง, ผักชี, น้ำปลาร้า, น้ำตาลปี๊บ, น้ำปลา",ของคาว,มีแซลมอน มะละกอ มะนาว พริก ทำอาหารอะไรดี,เมนูรสแซ่บจัดจ้าน ใส่ปลาร้า เนื้อปลาสดๆ คลุกกับมะละกอ พริกแดง,หาตำแซ่บใส่เนื้อแซลมอนกับผักครบๆ ราดน้ำปลาร้าหอมๆ
ส้มตำทอด,"{'มะละกอดิบ': '1 ลูก', 'แป้งโกกิ': '1 ถ้วย', 'น้ำเปล่า': '8 ช้อนโต๊ะ', 'กระเทียม': '10 กลีบ', 'พริกขี้หนู': '10 เม็ด', 'น้ำปลา': '2 1/2 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1 ช้อนโต๊ะ', 'มะนาว': '3 ช้อนโต๊ะ', 'มะเขือเทศ': '2 ลูก', 'ถั่วฝักยาว': '3 ฝัก', 'กุ้งแห้ง': 'ตามชอบ', 'ถั่วลิสง': 'ตามชอบ'}",65.44,230.8,170.06,3019.2,"มะละกอดิบ:, 1 ลูก
แป้งโกกิ:, 1 ถ้วย
น้ำเปล่า:, 8 ช้อนโต๊ะ
กระเทียม:, 10 กลีบ
พริกขี้หนู:, 10 เม็ด
น้ำปลา:, 2 1/2 ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1 ช้อนโต๊ะ
มะนาว:, 3 ช้อนโต๊ะ
มะเขือเทศ:, 2 ลูก
ถั่วฝักยาว:, 3 ฝัก
กุ้งแห้ง: ตามชอบ
ถั่วลิสง: ตามชอบ",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"มะละกอ,  แป้งโกกิ,  น้ำเปล่า,  กระเทียม,  พริกขี้หนู,  น้ำปลา,  น้ำตาลปี๊บ,  มะนาว,  มะเขือเทศ,  ถั่วฝักยาว,  กุ้งแห้ง, ถั่วลิสง",ของคาว,มีมะละกอดิบ แป้ง น้ำ น้ำตาล มะนาว มะเขือเทศ กุ้ง ถั่ว ,อยากได้ของกินเล่นกรอบๆ ทำจากมะละกอ ทอดแล้วคลุกน้ำยำแซ่บๆ,เมนูยำทอดแป้งกรอบ คลุกพริก มะนาว น้ำปลา กินเพลินมาก
ส้มตำผลไม้,"{'ข้าวโพด': '70 กรัม', 'สับปะรด': '80 กรัม', 'แอปเปิล': '60 กรัม', 'ฝรั่ง': '60 กรัม', 'ส้มโอ': '60 กรัม', 'ลูกพลับ': '70 กรัม', 'มะเขือเทศสีดา': '2 ช้อนโต๊ะ', 'พริกแดงจินดา': '7 เม็ด', 'กุ้งแห้ง': '2 ช้อนโต๊ะ', 'ถั่วลิสงคั่ว': '3 ช้อนโต๊ะ', 'มะนาว': '1 ½ ลูก', 'กระเทียมไทย': '12 กลีบ', 'น้ำตาลปี๊บ': '1 ช้อนโต๊ะ', 'น้ำปลา': '2 ช้อนโต๊ะ'}",65.1,118.52,183.8,2062.28,"ข้าวโพด, 70 กรัม
สับปะรด, 80 กรัม
แอปเปิล, 60 กรัม
ฝรั่ง, 60 กรัม
ส้มโอ, 60 กรัม
ลูกพลับ, 70 กรัม
มะเขือเทศสีดา, 2 ช้อนโต๊ะ
พริกแดงจินดา, 7 เม็ด
กุ้งแห้ง, 2 ช้อนโต๊ะ
ถั่วลิสงคั่ว, 3 ช้อนโต๊ะ
มะนาว, 1 ½ ลูก
กระเทียมไทย, 12 กลีบ
น้ำตาลปี๊บ, 1 ช้อนโต๊ะ
น้ำปลา, 2 ช้อนโต๊ะ",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"ข้าวโพด, สับปะรด, แอปเปิล, ฝรั่ง, ส้มโอ, ลูกพลับ, มะเขือเทศ, พริกแดง, กุ้ง, ถั่วลิสง, มะนาว, กระเทียม, น้ำตาล, น้ำปลา",ของคาว,อยากกินตำผลไม้ ข้าวโพด สัปปะรด แอปเปิ้ล ,อยากใช้ผลไม้แบบไทยๆ เอามาคลุกน้ำยำพริกแดง ใส่กุ้งลวกกับถั่วลิสง,มีผลไม้รวมหลากรส เปรี้ยว หวาน มัน เค็มเยอะมาก โรยถั่วกินแล้วสดชื่น
ส้มตำหมึกสาย,"{'หมึกสายลวก': '5-6ตัว', 'หอยแครงลวก': '100กรัม', 'มะละกอ': '', 'กระเทียม': '10กลีบ', 'พริกสด': '15 เม็ด', 'มะเขือเทศ': '2ลูก', 'มะนาว': '3ช้อนโต๊ะ', 'น้ำปลา': '3ช้อนโต๊ะ', 'น้ำตาลปิ๊บ': '2ช้อนโต๊ะ', 'น้ำปลาร้า': '2-3ช้อนโต๊ะ', 'น้ำมะขามเปียก': '1ช่้อนโต๊ะ', 'แครอท': '', 'มะเขือ': ''}",62.42,114.09,125.9,1780.09,"หมึกสายลวก:, 5-6ตัว
หอยแครงลวก:, 100กรัม
มะละกอ:
กระเทียม:, 10กลีบ
พริกสด:, 15 เม็ด
มะเขือเทศ:, 2ลูก
มะนาว:, 3ช้อนโต๊ะ
น้ำปลา:, 3ช้อนโต๊ะ
น้ำตาลปิ๊บ:, 2ช้อนโต๊ะ
น้ำปลาร้า:, 2-3ช้อนโต๊ะ
น้ำมะขามเปียก:, 1ช่้อนโต๊ะ
แครอท:
มะเขือ:",แคลกลาง,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"หมึก,  หอยแครง,  มะละกอ,  กระเทียม,  พริก,  มะเขือเทศ,  มะนาว,  น้ำปลา,  น้ำตาลปิ๊บ,  น้ำปลาร้า,  น้ำมะขามเปียก,  แครอท,  มะเขือ",ของคาว,ในตู้เย็นมีหมึก กระเทียม พริกไทย มะละกอ มะนาว หอยแครง ,,ตำแบบเผ็ดๆ มีหมึก หอยแครง มะละกอ พริก น้ำปลาร้า หอมจัดจ้าน
ส้มตำหมูยอ,"{'มะละกอ': 'ตามชอบ', 'มะเขือเทศท้อ': '1 ลูก', 'ถั่วฝักยาว': '2 ฝัก', 'กุ้งแห้ง': 'เนื้อตามชอบ', 'พริกแห้ง': '2 เม็ดหรือตามชอบ', 'พริกแดง': '2 เม็ดหรือตามชอบ', 'น้ำปลาร้า': '1 ช้อนโต๊ะหรือตามชอบ', 'น้ำตาลปีบ': '1 ช้อนชา', 'น้ำปลา': '2 ช้อนโต๊ะ', 'น้ำมะนาว': '1 ผล', 'หมูยอ': 'ตามชอบ', 'น้ำมะขามเปียก': '1 ช้อนชา', 'กระเทียม': '1 กลีบใหญ่'}",76.79,244.15,219.66,3383.15,"มะละกอขูดเป็นเส้นๆตามชอบ
มะเขือเทศท้อ, 1 ลูก
ถั่วฝักยาว, 2 ฝัก
กุ้งแห้งเนื้อตามชอบ
พริกแห้ง, 2 เม็ดหรือตามชอบ
พริกแดง, 2 เม็ดหรือตามชอบ
น้ำปลาร้าปรุงรส, 1 ช้อนโต๊ะหรือตามชอบ
น้ำตาลปีบ, 1 ช้อนชา
น้ำปลา, 2 ช้อนโต๊ะ
น้ำมะนาว, 1 ผล
หมูยอตามชอบ
น้ำมะขามเปียก, 1 ช้อนชา
กระเทียม, 1กลีบใหญ่",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"มะละกอ, มะเขือเทศ, ถั่วฝักยาว, กุ้งแห้ง, พริกแห้ง, พริกแดง, น้ำปลาร้า, น้ำตาลปีบ, น้ำปลา, น้ำมะนาว, หมูยอ, น้ำมะขามเปียก, กระเทียม",ของคาว,มีหมูยอ ถั่วฟักยาว กุ้ง พริก มะนาว มะละกอ ,อยากทำตำใส่หมูยอ น้ำยำแซ่บแบบจัดเต็ม มะละกอกรอบๆ กับพริกแห้งเผ็ดถึงใ,อยากกินอะไรนัวๆ ใส่น้ำปลาร้า หมูยอ น้ำมะขาม น้ำมะนาวครบสูตร
ส้มตำหอยแครง,"{'หอยแครง': '1 กิโลกรัม', 'มะละกอดิบ': '1 ลูก', 'มะเขือเทศสีดาหั่นชิ้น': '4 ลูก', 'มะเขือส้มหั่นครึ่ง': '7 ลูก', 'มะเขือเปราะหั่นชิ้น': '2 ลูก', 'น้ำมะนาว': '3 ลูก', 'พริกแดงจินดา': '20 เม็ด', 'ผักชีใบเลื่อยซอย': '6 ใบ', 'น้ำปลาร้า': '3 ทัพพี', 'น้ำตาลปี๊บ': '1 ช้อนชา', 'น้ำปลา': '1/2 ทัพพี'}",43.8,205.38,167.68,2694.34,"
หอยแครง, 1 กิโลกรัม
มะละกอดิบ, 1 ลูก
มะเขือเทศสีดา, 4 ลูก
มะเขือ, 7 ลูก
มะเขือเปราะ, 2 ลูก
น้ำมะนาว, 3 ลูก
พริกแดงจินดา, 20 เม็ด
ผักชีใบเลื่อยซอย, 6 ใบ
น้ำปลาร้า, 3 ทัพพี
น้ำตาลปี๊บ, 1 ช้อนชา
น้ำปลา, 1/2 ทัพพี",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"หอยแครง, มะละกอ, มะเขือเทศสีดา, มะเขือ, มะเขือเปราะ, น้ำมะนาว, พริกแดงจินดา, ผักชี, น้ำปลาร้า, น้ำตาลปี๊บ, น้ำปลา",ของคาว,มีหอยแครงเยอะมากกกกก เอาไปทำเมนูที่เผ็ด เปรี้ยว ถึงใจ,เมนูตำที่หอยแน่นๆ น้ำยำเปรี้ยวจัด เค็มนิดๆ หอมพริกแดง,"มี หอยแครง, มะละกอ, มะเขือเทศสีดา, มะเขือ ทำอะไรกินดี"
สลัดทูน่ากระป๋องแบบง่าย,"{'ทูน่าแซนวิช (ในน้ำแร่)': '1 กระป๋อง', 'ผักรวมแช่แข็ง': '1/2 ถ้วยเล็ก', 'น้ำสลัดหรือมายองเนส': 'ปริมาณตามชอบ'}",15.16,64.6,0,642.04,"ทูน่าแซนวิช (เราใช้แบบในน้ำแร่เพราะมันจะจืด), 1 กระป๋อง
ผักรวมแช่แข็ง, 1/2 ถ้วยเล็ก
น้ำสลัดหรือมายองเนสปริมาณตามชอบ",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ทูน่ากระป๋อง, ผัก, น้ำสลัด, มายองเนส",ของคาว,"อยากจะทำอาหารที่ใช้ทูน่ากระป๋อง, ผัก, น้ำสลัด, มายองเนส ",อยากกินอาหารเบาท้อง ใส่ผักสดกับมายองเนสเบาๆ,สลัดเบาๆ ใส่ทูน่ากระป๋องคลุกน้ำสลัด รสไม่จัดเกินไป
สลัดผักผลไม้,"{'ผักกาดหอม': '1 ต้น', 'แครอท': '1 หัว', 'กะหล่ำม่วง': '1/4 หัว', 'ข้าวโพด': '1/4 ฝัก', 'แอปเปิ้ล': '1 ลูก', 'แคนตาลูป': '1/4 ลูก', 'แก้วมังกร': '1/4 ลูก', 'องุ่นดำไร้เมล็ด': '1 พวง', 'กีวี่': '1/2 ลูก', 'น้ำสลัดสำเร็จรูปตามชอบ': '1 ถ้วยตวง'}",72.27,55.72,0,790.56,"ผักกาดหอม, 1 ต้น
แครอท, 1 หัว
กะหล่ำม่วง, 1/4 หัว
ข้าวโพด, 1/4 ฝัก
แอปเปิ้ล, 1 ลูก
แคนตาลูป, 1/4 ลูก
แก้วมังกร, 1/4 ลูก
องุ่นดำไร้เมล็ด, 1 พวง
กีวี่, 1/2 ลูก
น้ำสลัดสำเร็จรูปตามชอบ, 1 ถ้วยตวง",แคลน้อย,โปรตีนกลาง,ไขมันน้อย,คาร์บน้อย,"ผักกาดหอม, แครอท, กะหล่ำ, ข้าวโพด, แอปเปิ้ล, แคนตาลูป, แก้วมังกร, องุ่น, กีวี่, น้ำสลัด",ของหวาน,มี ผักกาด กะหล่ำ ข้าวโพด แอปเปิ้ล แคนตาลูป ทำอาหารอะไร,เมนูผักผลไม้หลากสี คลุกน้ำสลัด เปรี้ยวหวานสดชื่น,หาของเบาๆ ใส่แอปเปิ้ล แก้วมังกร ผักสด กินคลีนได้เลย
สลัดมันฝรั่งสไตล์ญี่ปุ่น,"{'มันฝรั่งหัวใหญ่': '1 หัว', 'หัวหอมใหญ่': '1/4 ลูก', 'แตงกวาญี่ปุ่น': '1/2 ลูก', 'แฮม': '2 แผ่น', 'มายองเนส': '3 ช้อนโต๊ะ', 'เกลือสำหรับปรุงรส': '2 ช้อนชา', 'พริกไท': '2 ช้อนชา', 'แคร์รอต': '1/4 หัว', 'เกลือสำหรับใส่แตงกวาและหอมใหญ่': '4 ช้อนชา'}",34.57,74.79,23.41,905.03,"มันฝรั่งหัวใหญ่, 1 หัว
หัวหอมใหญ่, 1/4 ลูก
แตงกวาญี่ปุ่น, 1/2 ลูก
แฮม, 2 แผ่น
มายองเนส, 3 ช้อนโต๊ะ
เกลือสำหรับปรุงรส, 2 ช้อนชา
พริกไท, 2 ช้อนชา
แคร์รอต, 1/4 หัว
เกลือสำหรับใส่แตงกวาและหอมใหญ่, 4 ช้อนชา",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"มันฝรั่ง, หัวหอม, แตงกวาญี่ปุ่น, แฮม, มายองเนส, เกลือ, พริกไทย, แครอท, เกลือ",ของคาว,"อยากกินสลัดสไตล์ญี่ปู่น โดยอยากใช้ มันฝรั่ง, หัวหอม, แตงกวาญี่ปุ่น, แฮม, มายองเนส, เกลือ",อยากได้เมนูมันฝรั่งบดผสมมายองเนส หอม หวาน เค็มนิดๆ แบบญี่ปุ่น,อยากทำเมนูที่เคี้ยวเพลินๆ มันฝรั่งกับแฮม หัวหอม แตงกวาญี่ปุ่น 
