ชื่ออาหาร,ingredient_full_json,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,query1 อยากกินอาหารครบ,query2,query3
ปลานึ่งสมุนไพร,"{'ปลาทับทิม': '1 ตัว', 'เกลือป่น': '2 ช้อนชา', 'ตะไคร้': '3 ต้น', 'หอมแดง': '5 หัว', 'กระเทียม': '2 กลีบ', 'ข่า': '5 แว่น', 'ใบมะกรูด': '3 ใบ', 'น้ำสะอาด': 'สำหรับนึ่ง', 'ผักกาดขาว': 'ตามชอบ', 'ต้นหอม': 'ตามชอบ', 'ผักชี': 'ตามชอบ'}",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ปลาทับทิม, เกลือ, ตะไคร้, หอมแดง, กระเทียม, ข่า, ใบมะกรูด, น้ำเปล่า, ผักกาดขาว, ต้นหอม, ผักชี",ที่บ้านมีปลา ตะไคร้ หอมแดง กระเทียม ข่า ใบมะกรุด อยากเอามาทำอาหารเฮลตี้ๆ,อยากกินปลาแบบคลีนๆ เฮลตี้ เต็มสุขภาพ ,เมนูสุขภาพปลานึ่งกับผัก
ปลาร้าทอดทรงเครื่อง,"{'ปลาร้า': '1 ตัว', 'หอมแดงซอย': '1 หัว', 'กระเทียมกลีบใหญ่หั่น': '', 'พริกขี้หนูซอย': 'ตามชอบ', 'พริกแห้ง': 'ตามชอบ', 'แป้งทอดกรอบคนอร์': '2 ช้อนโต๊ะ', 'น้ำมันสำหรับทอด': ''}",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"ปลาร้า,  หอมแดง, กระเทียม,  พริกขี้หนู,  พริกแห้ง,  แป้งทอดกรอบ, คนอร์, น้ำมัน",ได้ปลาร้ามา อยากเอามาทำอาหารคาว,อยากกินปลาร้าทอดทรงเครื่อง ,อยากกินอาหารอร่อยๆ กินง่าย ทำมาจากปลาร้า
ปลาหมึกย่าง,"{'ปลาหมึกกระดอง': '1200 กรัม', 'ซีอิ๊วดำ': '1 ช้อนโต๊ะ', 'ผงขมิ้น': '½ ช้อนชา', 'น้ำปูนใส': '1 ถ้วยตวง'}",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ปลาหมึก, ซีอิ๊วดำ, ผงขมิ้น, น้ำปูนใส, กระเทียมสับ, รากผักชี, พริกแดง, น้ำตาลปี๊บ, เกลือ, น้ำปลา, น้ำมะนาว",ไปตกหมึกมา อยากทำอะไรกินง่ายๆ ได้รสชาติของปลาหมึกแท้ๆ ,อยากกินปลาหมึกๆ ซีฟุ้ด อร่อยๆ,ปลาหมึกย่างซีฟู้ดรสเข้ม แซ่บๆๆ
ปลาหิมะนึ่งซีอิ๊ว,"{'เนื้อปลาหิมะ': '1 ชิ้น', 'เห็ดหอมแห้งแช่น้ำ': '2 ดอก', 'ขิงอ่อนซอย': '1 แง่ง', 'ต้นหอมญี่ปุ่นซอย': '1 ต้น', 'พริกชี้ฟ้าแดงซอย': '1 เม็ด', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'โชยุ': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำมันงา': '1 ช้อนชา', 'เหล้าจีน': '1 ช้อนโต๊ะ', 'น้ำเปล่า': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '1/8 ช้อนชา'}",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"ปลา, เห็ดหอม, ขิงอ่อน, ต้นหอม, พริกชี้ฟ้า, ซีอิ๊วขาว, โชยุ, น้ำตาลทราย, น้ำมันงา, เหล้าจีน, น้ำเปล่า, พริกไทยป่น",อยากกินปลาหิมะนึ่งซีอิ๊ว,"ทำอะไรที่ใช้ปลา, เห็ดหอม, ขิงอ่อน, ต้นหอม ",นึ่งปลากับขิงและโชยุ ได้ไหม มีขิงเหลือเยอะมาก
ปังกรอบเนยน้ำตาล,"{'ขนมปังแผ่น1 แถว': '', 'เนยสด1ก้อน หรือประมาณ 227 กรัม': ''}",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ขนมปัง, เนยสด, น้ำตาลทราย",มีขนมปังเก่าที่เก็บไว้ ช้อกโกแลต กล้วย เนย นมข้นหวาน น้ำตาล ทำเมนูอะไรดี,"อยากกินขนมหวานๆ ขนมปัง, เนยสด, น้ำตาลทราย ทำอร่อยๆ",เมนูขนมง่ายๆ จากขนมปังเหลือ
ปีกไก่ทอดน้ำปลา,"{'ปีกไก่': 'ครึ่งโล', 'น้ำปลาแท้': '2 ช้อนช้อน', 'แป้งสำหรับทอด': '3-4 ช้อน', 'น้ำมันสำหรับทอด': 'ปริมาณให้ทั่วเนื้อไก่', 'ซีอิ้วขาว': '2 ช้อน'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"ปีกไก่, น้ำปลา, แป้งสำหรับทอด, น้ำมัน, ซีอิ้วขาว",อยากทำอาหารที่เด็กๆจะชอบกัน ใช้ปีกไก่ น้ำปลา แป้งทอด ไข่ ,อยากกินไก่ทอด อร่อยๆ เค็มๆ เด้กชอบ ผู้ใหญ่รัก,เมนูขนมง่ายๆ จากขนมปังเหลือ
ปีกไก่ทอดไร้น้ำมัน,"{'ปีกไก่': '10 ชิ้น', 'น้ำปลา': '1 ช้อนโต๊ะ', 'เกลือ': '1 ช้อนชา'}",แคลน้อย,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"ปีกไก่, น้ำปลา, เกลือ",อยากทำปีกไก่ที่ไม่ต้องใช้น้ำมัน,ไก่ทอดที่คลีนๆ ไม่ใช้น้ำมัน,ปีกไก่ทอดแบบไม่ใช้น้ำมัน
ปูผัดผงกะหรี่,"{'ผงกะหรี่': '2 ช้อนชา', 'ไข่ไก่': '2 ฟอง', 'กระเทียมสับ': '½ ช้อนโต๊ะ', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซอสพริก': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'น้ำพริกเผา': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '½ ช้อนชา', 'พริกไทยป่น': '¼ ช้อนชา', 'นมสด': '½ ถ้วย', 'น้ำซุป': '2 ช้อนโต๊ะ', 'เนื้อปูแกะ': '200 กรัม', 'น้ำมันพืช': '1 ช้อนโต๊ะ', 'หอมใหญ่หั่นยาว': '¼ ถ้วย', 'ขึ้นฉ่ายหั่นท่อน': '1 ต้น', 'ต้นหอมหั่นท่อน': '1 ต้น', 'พริกแดงซอยเป็นเส้น': 'สำหรับตกแต่ง'}",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"ผงกะหรี่, ไข่ไก่, กระเทียม, ซอสหอยนางรม, ซอสพริก, ซีอิ๊วขาว, น้ำพริกเผา, น้ำตาลทราย, พริกไทยป่น, นมสด, น้ำซุป, ปู, น้ำมัน, หอมใหญ่, ขึ้นฉ่าย, ต้นหอม, พริกแดง",มีผู้ที่ได้มา อยากเอามาทำอาหาร ตอนนี้ที่บ้านมีไข่เค็ม ผงกะหรี่ ขิง ข่า ตะไคร้ ใบมะกรุด ซอสต่างๆ เนื้อปู สามารถทำเมนุอะไรได้บ้าง,ในตู้เย็นมีผงกะหรี่เยอะมาก อยากเอามาทำอาหารประทับใจสามี  ถ้าทำจากปูจะดีไหม,เมนูปูผัดใส่นมสด หอมมัน
ผักกาดขาวผัดไข่,"{'ผักกาดขาว': '3/4 หัว', 'ไข่ไก่': '1 ฟอง', 'กระเทียม': '5-6 กลีบ', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนชา'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"ผักกาดขาว,  ไข่ไก่,  กระเทียม,  น้ำมันหอย,  น้ำปลา",มีผักกาดขาว ไข่ เหลือไว้อยู่ ทำเมนูอะไรได้บ้าง,"อยากกิน ผักกาดขาว,  ไข่ไก่,  กระเทียม",อยากทำกับข้าวคลีนๆ มีผักกับไข่
ผักโขมอบชีส,"{'ผักโขม': '2 กำ', 'หอมใหญ่': '1/2 หัว', 'แฮม': '1 แผ่น', 'เนย': '4 ช้อนโต๊ะ', 'แป้งอเนกประสงค์': '1 ช้อนโต๊ะ', 'นมสด': '1 ถ้วย', 'เกลือ': '', 'พริกไทย': '', 'Cheddar cheese': '1 ถ้วย', 'Mozzarella cheese': '1 ถ้วย'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"ผักโขม, หอมใหญ่, แฮม, เนย, แป้งอเนกประสงค์, นมสด, เกลือ, พริกไทย, ชีส",มีชีสเยอะมาก ผักโขม หอมใหญ่ ข้าวสวย ,"มี ผักโขม, หอมใหญ่, แฮม, เนย ทำอะไรกินดี ",เมนูอร่อยๆ ใส่ผัก ใส่ชีส หอมใหญ่ 
ผักบุ้งผัดน้ำมันหอย,"{'ผักบุ้ง': '2 กำ', 'กระเทียม': '3-5 กลีบ', 'เต้าเจี้ยว': '1/2 ช้อนโต๊ะ', 'น้ำมันหอย': '1/2 ช้อนโต๊ะ', 'น้ำตาล': '1 ช้อนชา', 'พริกขี้หนู': '7 เม็ด'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"ผักบุ้ง, กระเทียม, เต้าเจี้ยว, น้ำมันหอย, น้ำตาล, พริกขี้หนู",อยากกินผักบุ้งเผ็ดๆ,อยากกินผัดผักอร่อยๆ เค็มๆ ทำมาจากผักบุ้ง,ผัดผักบุ้งให้เขียวกรอบ กินง่าย ใส่ผักเยอะๆ
ผัดกระเพราไก่-ไข่ดาว,"{'เนื้อไก่ (สับ)': '200 กรัม', 'กระเทียม': '3-4 กลีบ', 'พริกขี้หนู (ล้าง)': '5 เม็ด (เผ็ดกลาง)', 'เห็ดออรินจิ (หั่น)': '4 ดอก (เล็ก)', 'ใบกระเพรา (เด็ด)': '4 กิ่ง', 'น้ำมันหอย': '2 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'ซีอิ๊วขาว': 'ครึ่งช้อนโต๊ะ', 'น้ำมันพืช': '2 ช้อนโต๊ะ'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"เนื้อไก่,  กระเทียม,  พริกขี้หนู,  เห็ดออรินจิ,  ใบกะเพรา,  น้ำมันหอย,  น้ำปลา,  น้ำตาลทราย,  ซีอิ๊วขาว, น้ำมันพืช",มีใบกะเพราะเยอะมาก เห็ด ไก่  น้ำมันหอย น้ำปลา,"อยากกินอาหารอร่อยๆ กระเทียม,  พริกขี้หนู,  เห็ดออรินจิ,  ใบกะเพรา เผ็ดๆ ",อาหารง่ายๆ ใส่กะเพราเยอะๆ ทำมาจากไก่ 
ผัดกระหล่ำปลีหมูสับ,"{'กะหล่ำปลี': '1/2 หัว', 'หมูสับ': '50 กรัม', 'กระเทียม': '3-5 กลีบ', 'น้ำมันพืช': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 1/2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1/2 ช้อนโต๊ะ'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"กะหล่ำปลี, หมูสับ, กระเทียบ, น้ำมัน, ซีอิ๊วขาว, ซอสหอยนางรม, น้ำตาลทราย",อยากกิน ผัดผักคลีนๆ ใส่ กะหล่ำ หมูสับ,"มี กะหล่ำปลี, หมูสับ, กระเทียบ, น้ำมัน ทำอะไรได้บ้างอร่อยๆ ",ผัดผักแบบง่ายๆ สำหรับมือใหม่
ผัดกะเพราพริกแห้งรสจัดจ้านกับไข่ดาว,"{'หมูสับ': '500 กรัม', 'พริกแห้ง': '30 เม็ด', 'หัวหอมแดง': '4 หัว', 'กระเทียม': '1 หัว', 'ใบกะเพรา': '300 กรัม', 'ผงปรุงรสหมู': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'น้ำเปล่า': '25 มล.', 'ไข่ไก่': '7 ใบ', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'น้ำมันพืชสำหรับทอดพอท่วมไข่': '', 'น้ำต้มสุก': '25 มล.'}",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"หมูสับ,  พริกแห้ง,  หัวหอมแดง,  กระเทียม,  ใบกะเพรา,  ผงปรุงรส,  น้ำตาลทราย,  น้ำเปล่า,  ไข่ไก่,  น้ำมันพืช,  น้ำมัน,  น้ำ",อยากกินกะเพราอร่อยๆ พริกแห้งเยอะๆ,อยากกินผัดกะเพราพริกแห้งรสจัดจ้านกับไข่ดาว,
ผัดกะเพราหมูสับไข่ดาว,"{'ซอสผัดกะเพราพริกแห้ง': '60 กรัม', 'หมูสับ': '200 กรัม', 'ใบกะเพรา': '50 กรัม', 'ไข่ไก่': '1 ฟอง', 'น้ำสะอาด': 'เล็กน้อย'}",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ซอสผัดกะเพรา, หมูสับ, ใบกะเพรา, ไข่ไก่, น้ำสะอาด",อยากกินกะเพรา หมุสับ เผ็ดๆ,อยากกินผัดกะเพราหมูสับราดข้าวโปะไข่ดาวหน่อย ,มองหาเมนูเผ็ดๆ หอมกะเพรา ผัดกะเพราหมูสับไข่ดาว
ผัดขี้เมาอกไก่,"{'อกไก่': '100 กรัม', 'กระเทียม': 'ครึ่งหัว', 'พริกไทยสด': '3 พวง', 'ใบกระเพรา': '1 ต้น', 'ใบมะกรูด': '1 ต้น', 'แครอท': '1/4 หัว', 'ข้าวโพดอ่อน': '4 ฝัก', 'พริกชี้ฟ้าแดง': '3 เม็ด', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำมันหอย': '1 ช้อนชา', 'น้ำปลา': '1 ช้อนชา'}",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"อกไก่, กระเทียม, พริกไทย, ใบกะเพรา, ใบมะกรูด, แครอท, ข้าวโพดอ่อน, พริกชี้ฟ้าแดง, น้ำตาลทราย, น้ำมันหอย, น้ำปลา","อยากกกินอกไก่, กระเทียม, พริกไทย, ใบกะเพรา, ใบมะกรูด, แครอท, ทำเมนูอร่อยๆ เผ็ดๆ",ขอเมนูเผ็ดๆ หอมสมุนไพร ออกมาจากไก่ กระเทียม,มีเมนูไก่รสจัดๆ อย่างผัดขี้เมาไหม กินกับข้าวสวย
ผัดไข่มดแดง,"{'ไข่มดแดง': '2 ขีด', 'ไข่ไก่': '3 ฟอง', 'ต้นหอมญี่ปุ่น': '2 ต้น', 'กระเทียม': '6 กลีบ', 'พริกชีฟ้า': '4 เม็ด', 'มะเขือเทศสีแดงลูกใหญ่': '1 ลูก', 'น้ำมันหอย': 'ตามชอบ', 'ซีอิ๊วขาว': 'ตามชอบ', 'ผงปรุงรส รสหมู': 'ตามชอบ', 'น้ำมันพืช': '1 -2ช้อนโต๊ะ'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"ไข่มดแดง,  ไข่ไก่,  ต้นหอม,  กระเทียม,  พริกชีฟ้า,  มะเขือเทศสีแดง,  น้ำมันหอย, ซีอิ๊วขาว, ผงปรุงรสรสหมู, น้ำมันพืช",มีไข่มดแดงเยอะมากก อยากเอามาทำผัดๆ,หากับข้าวพื้นบ้านอีสานแบบผัดไข่มดแดงใส่ไข่,อยากลองเมนูแปลกๆ ทำมาจากไข่มดแดง ไข่ไก่
ผัดคะน้าหมู,"{'หมูสามชั้น': '150 กรัม', 'ผักคะน้า': '1 จาน', 'พริกขี้หนูเม็ดใหญ่': '5 เม็ด', 'กระเทียมใหญ่': '5 กลีบ', 'น้ำมันหอย': '3 ช้อนโต๊ะ', 'น้ำตาลทราย': '2-3 ช้อนชา', 'เต้าเจี้ยว': '1/2 ช้อนโต๊ะ', 'ซอสปรุงรส': '2-3 ช้อนชา'}",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"หมูสามชั้น, ผักคะน้า, พริกขี้หนู, กระเทียมใหญ่, น้ำมันหอย, น้ำตาลทราย, เต้าเจี้ยว, ซอสปรุงรส",อยากกินผัดผักง่ายๆ ใส่คะน้า ใส่หมู รสชาติเค็มๆ,มีผัดคะน้าหมูสามชั้นราดข้าวไหม กินง่ายๆ,หาเมนูหมูผัดผักแบบง่ายๆ  อร่อยๆ เค็ม ใช้คะน้า
ผัดฉ่าหมู,"{'หมู': '300 กรัม', 'พริกชี้ฟ้าแดง': '2 เม็ด', 'กระเพรา': '', 'พริกไทยอ่อน': '', 'ยอดมะพร้าวอ่อน': '100 กรัม', 'พริกขี้หนู': '5 เม็ด', 'มะเขือเปราะ': '4 ลูก', 'น้ำปลา': '2 ชต', 'พริกแกงเผ็ด': '2 ชต', 'น้ำตาลทราย': '1 ชช', 'ใบมะกูด': '3-4 ใบ'}",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"หมู, พริกชี้ฟ้า, ใบกะเพรา, พริกไทย, ยอดมะพร้าว, พริกขี้หนู, มะเขือเปราะ, น้ำปลา, พริกแกงเผ็ด, น้ำตาลทราย, ใบมะกรูด","อยากกินอาหารที่ พริกขี้หนู, มะเขือเปราะ, น้ำปลา, พริกแกงเผ็ด, น้ำตาลทราย, ใบมะกรูด ",มีเมนูหมูผัดเผ็ดๆ ใส่พริกไทยสด หมู พริก,อยากกินผัดฉ่าหมูรสเผ็ดหอมเครื่องสมุนไพร
ผัดชะอมวุ้นเส้นหมูสับ,"{'วุ้นเส้น': '(แช่น้ำจนนิ่ม)', 'ชะอมเด็ดยอดอ่อน': '500 กรัม', 'เนื้อหมูสับ': '500 กรัม', 'กระเทียมสับ': '5 กลีบ', 'น้ำตาลทราย': '2 ช้อนโต๊ะ', 'ซอสปรุงรส': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ'}",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"วุ้นเส้น,  ชะอม,  เนื้อหมู,  กระเทียม,  น้ำตาลทราย,  ซอสปรุงรส,  ซอสหอยนางรม",อยากกินผัดชะอม ใส่วุ้นเส้น กระเทียม ไม่ค่อยหวาน,มีชะอมกับวุ้นเส้น อยากทำเมนูบ้านๆ แบบไม่มันมาก ใส่หมูสับได้ด้วย,อยากได้สูตรผัดวุ้นเส้นที่ใส่ผักกลิ่นแรงๆ อย่างชะอม รสกลมกล่อม
ผัดซีอิ๊ว + สอนเทคนิคผัดเส้นระดับโปร ♥️,"{'เส้นใหญ่': '200 g', 'หมูหมัก หรือ เนื้อมัก (ดูสูตรได้ที่หมูหมักแบบภัตราคารจีน)': '200 g', 'คะน้า': '200 g', 'ไข่ไก่': '2 ฟอง', 'ซีอิ๊วขาว': '3-4-5 เหยาะ'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"เส้นใหญ่, หมูหมัก หรือ เนื้อมัก, คะน้า, ไข่ไก่, ซีอิ๊วขาว",อยากกินผัดซี้อิ้ว หมูเยอะๆๆๆๆ,อยากผัดซีอิ๊วเส้นใหญ่ให้หอมกระทะแบบร้านดัง ดดดยใช้ของที่เหลือในบ้าน เส้นใหญ่ หมู  เนื้อ คะน้า,อยากทำอาหารจากเส้นซีอิ๊วให้ออกมาสวยไม่เละ
ผัดซีอิ้วเส้นใหญ่,"{'น้ำมัน': '2 ช้อนโต๊ะ', 'กระเทียมสับ': '1 ช้อนโต๊ะ', 'หมูหมัก': '250 กรัม', 'เส้นใหญ่': '500 กรัม', 'ซีอิ้วดำ': '1 ช้อนโต๊ะ', 'คะน้า': '3 ต้น', 'กระหล่ำปลี': '1/4 หัว', 'แครอท': '1/4 หัว', 'ไข่เป็ด': '2 ลูก', 'ไข่ไก่': '2 ลูก', 'ผงปรุงรส': '2 ช้อนชา', 'น้ำตาลทราย': '4 ช้อนชา', 'น้ำมันหอย': '2 ช้อนโต๊ะ', 'ซอสปรุงรส': '2 ช้อนโต๊ะ', 'พริกไทยป่น': '1 ช้อนชา'}",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"น้ำมัน, กระเทียม, หมูหมัก, เส้นใหญ่, ซีอิ้วดำ, คะน้า, กระหล่ำปลี, แครอท, ไข่เป็ด, ไข่ไก่, ผงปรุงรส, น้ำตาลทราย, ซอสหอยนางรม, ซอสปรุงรส, พริกไทย",มีเส้นใหญ่ อยากเอามาทำผัดอะไรสักอย่าง ใส่ไข่ด้วยเยอะๆ ,ผัดซีอิ๊วแบบใส่ทั้งไข่เป็ดไข่ไก่ หอมๆ กลิ่นไหม้เบาๆ,มีหมูหมัก เส้นใหญ่ คะน้า ผัดใส่กระหล่ำกับแครอท
ผัดดอกกุยช่ายกุ้ง,"{'ดอกกุยช่ายหั่นท่อน': '200 กรัม', 'กุ้งขาว': '150 กรัม', 'น้ำเปล่า': '50 กรัม', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1/2 ช้อนโต๊ะ', 'กระเทียมสับ': '1 ช้อนโต๊ะ', 'น้ำมันพืช': '1 ช้อนโต๊ะ'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"ดอกกุยช่าย, กุ้ง, น้ำเปล่า, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำตาลทราย, กระเทียม, น้ำมันพืช",ได้ดอกกุ่ยช่ายมา อยากเอามาทำอาหาร ใส่กุ้งเยอะๆ กระเทียมด้วยเพื่อเพิ่มความอร่อย,ดอกกุยช่ายเหลือเต็มตู้ ผัดง่ายๆ ใส่ซีอิ๊วขาว จะได้เค็มๆ,อยากทำเมนูผักกุยช่ายที่ไม่มันมาก เน้นกุ้งสดผัดหอมๆ
ผัดไทย (มีสูตรน้ำซอส),"{'เส้นเล็ก(ยี่ห้อบ้านโป่ง)': '250 กรัม', 'ไข่ไก่': '2 ฟอง', 'ถั่วงอก': 'ตามชอบ', 'ผักกุ๋ยช่าย': 'ตามชอบ', 'เต้าหู้ชนิดแข็ง': '2 ช้อนโต๊ะ', 'หัวไซโป้วดอง': '1 ช้อนโต๊ะ', 'กุ้งแห้ง': '2 ช้อนโต๊ะ', 'กระเทียม+หอมแดง': 'อย่างละ1 ช้อนโต๊ะ', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'กระเทียม': '1 ช้อนโต๊ะ', 'หอมแดง': '1 ช้อนโต๊ะ', 'ซอสพริก': '1 ช้อนโต๊ะ', 'ซอสมะเขือเทศ': '2 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '2 ช้อนโต๊ะ', 'น้ำมะขามเปียก': '50 ml.', 'น้ำเปล่า': '50 ml.', 'เกลือ': '1 ช้อนชา'}",แคลมาก,โปรตีนสูง,ไขมันสูง,คาร์บกลาง,"เส้นเล็ก, ไข่ไก่, ถั่วงอก, ผักกุ๋ยช่าย, เต้าหู้, หัวไซโป้ว, กุ้งแห้ง, กระเทียม, กระเทียม, หอมแดง, น้ำมันพืช, ซอสพริก, ซอสมะเขือเทศ, น้ำตาลปี๊บ, น้ำมะขามเปียก, น้ำเปล่า, เกลือ",เส้นเล็ก ไจ่ ถั่วงอก น้ำมัน กุ้งแก้ง ไจ่ น้ำตาล ซอสมะเขือเทศ ทำอาหารอะไรดี อยากให้ใช้วัตถุดิบนี้ทั้งหมด,อยากทำผัดไทยแบบใส่ซอสเอง เปรี้ยวหวานกลมกล่อม เหมือนร้านริมทาง,มีเส้นเล็ก ไข่ เต้าหู้ น้ำมะขามเปียก อยากผัดไทยแบบคลาสสิก
ผัดบวบใส่ไข่,"{'บวบ': '3-4 ฝัก', 'ไข่ไก่': '3 ฟอง', 'น้ำมันสำหรับผัด': '', 'กระเทียม': '', 'น้ำมันหอย': '', 'ซีอิ๊วขาว': '', 'น้ำตาลทราย': '', 'ผงปรุงรส รสหมู': ''}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"บวบ, ไข่ไก่, น้ำมัน, กระเทียม, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำตาลทราย, ผงปรุงรส",มีบวบ ไข่ กระเทียม ซอสหอย เอามาทำอาหารอะไรดี ,มีบวบกับไข่ อยากผัดแบบไม่ใส่ผงชูรส ให้เด็กกินได้,"ทำอะไรกินดีมี บวบ, ไข่ไก่, น้ำมัน, กระเทียม"
ผัดเปรี้ยวหวานหมู,"{'เนื้อหมูสไลด์': '250 กรัม', 'หอมหัวใหญ่': '1 หัว', 'แตงกวาลูกเล็ก': '5 ลูก', 'มะเขือเทศ': '1 ลูก', 'กระเทียมสับ': '1 ช้อนโต๊ะ', 'ต้นหอม': '2 ต้น', 'ซอสปรุงรส': 'ตามชอบ', 'น้ำตาล': 'ตามชอบ', 'ซอสมะเขือเทศ': '3 ช้อนโต๊ะ', 'น้ำมันหอย': 'ตามชอบ'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"เนื้อหมู, หอมหัวใหญ่, แตงกวา, มะเขือเทศ, กระเทียม, ต้นหอม, ซอสปรุงรส, น้ำตาล, ซอสมะเขือเทศ, ซอสหอยนางรม",อยากกินอาหารที่อร่อยๆ รสชาติกินง่าย เด็กๆชอบ เปรี้ยวๆ หวานๆ ทำมาจากหมู หอมหัวใหญ่ ,มีหมู หอมหัวใหญ่ น้ำซอสครบ ผัดเปรี้ยวหวานให้น่ากินยังไงดี,อยากทำหมูผัดเปรี้ยวหวาน เด็กกินได้ ใส่มะเขือเทศ แตงกวา
ผัดผักบุ้งหมูสับ,"{'หมูบด': '1 ขีด', 'กระเทียมสับ': '1 ช้อนโต้ะ', 'พริกแดงโขลก': '4 เม็ด', 'ซีอิ๊วขาว': '2 ช้อนโต้ะ', 'น้ำมันหอย': '2 ช้อนโต้ะ', 'น้ำมันพืช': '1 ช้อนโต้ะ', 'น้ำเปล่า': '1 ถ้วยเล็ก', 'ผักบุ้งจีน': '1 กำ', 'น้ำตาลทราย': '1 ช้อนชา'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"หมูบด,  กระเทียม,  พริกแดง,  ซีอิ๊วขาว,  น้ำมันหอย,  น้ำมันพืช,  น้ำเปล่า,  ผักบุ้ง,  น้ำตาล",อยากกินผัดบุ้ง ใส่หมู  กระเทียม น้ำมันหอย,ผัดผักบุ้งให้เขียวกรอบ ใส่หมูบดแบบร้านอาหารตามสั่ง,อยากทำเมนูประหยัด ผักบุ้งเหลือ หมูบดมีพอ
ผัดเผ็ดไก่บ้าน,"{'ไก่บ้าน': 'ครึ่งกิโลกรัม', 'พริกแกง': '2 ช้อนโต๊ะ', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'ใบมะกรูด': '8 ใบ', 'ใบกะเพรา': '1 กำมือ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'ซอสปรุงรส': '1 ช้อนชา', 'น้ำตาล': 'ครึ่งช้อนชา'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"ไก่, พริกแกง, น้ำมันพืช, ใบมะกรูด, ใบกะเพรา, น้ำปลา, ซอสปรุงรส, น้ำตาล",อยากกินผัดเผ็ดไก่บ้าน,มีไก่บ้าน ใบมะกรูด น้ำปลา อยากผัดให้รสจัดๆ แบบใต้,ผัดไก่บ้านให้เนื้อแน่น นัวๆ เผ็ดร้อนหอมใบกะเพรา
