ชื่ออาหาร,วิธีทำ
ทอดปลาส้ม (ให้เป็นชิ้นสวย),"1: วัตถุดิบที่ใข้
 2: เจียวหอมแดงและทอดพริกให้กรอบ พักไว้
 3: นำแป้งโรยบางๆในจานแล้ววางปลาส้มลงไป โรยแป้งทับอีกครั้ง
 4: เคาะแป้งออกบางส่วน ก่อนนำลงทอด จนสุก เหลืองสวยทั้ง 2 ด้าน"
ต้มยำรวมมิตรน้ำใสใบกะเพรา,"1: เตรียมวัตถุดิบ
 2: ตั้งน้ำใส่ข่าตะไคร้ใบมะกรูด + เกลือ + ผงปรุงรส
เมื่อเริ่มเดือดปั้นไก่ใส่เมื่อไก่เริ่มสุก ปรุงรส น้ำปลา ใส่เห็ด
 3: ใส่ปลาหมึก+กุ้ง+ใบมะกรูด+น้ำมันพริกเผา
 4: ตอนเสริฟร้อนๆใส่ใบกะเพรา+ปรุงรสมะนาว+พริกขี้หนูบุ"
ยำเล็บมือนาง,"1: ล้างเล็บมือนางให้สะอาด ตั้งกระทะลวกล้างคาว ใส่เกลือเล็กน้อย ยกขึ้นสะเด็ดน้ำ
 2: เตรียมน้ำยำ น้ำปลา มะนาว น้ำตาลทราย พริกจินดาซอย
 3: ใส่ต้นหอม ผักชี หอมใหญ่ หอมใหญ่ มะเขือเทศซอย เล็บมือนางลวก เคล้าให้เข้ากัน
 4: เสร็จพร้อมเสริฟ"
ผัดมักกะโรนีกุ้ง,"1: ขั้นตอนการต้มมักกะโรนี
เปิดไฟแรงให้น้ำเดือดจัด ใส่น้ำมันพืชเล็กน้อย ใส่เกลือเล็กน้อย ใส่เส้นมักกะโรนีลงไป
 2: ใช้ไฟกลาง คนเป็นระยะๆ

 3: จากนั้นนำไปแช่น้ำเย็น ใส่น้ำมันพืชเล็กน้อย
 4: ตักมักกะโรนีขึ้นพักไว้
 5: ขั้นตอนการผัดมักกะโรนี
ตั้งกระทะไฟกลาง นำเนยไปผัดให้หอม
 6: ใส่กุ้งลงไปผัดให้เปลี่ยนสี แต่ไม่ต้องสุกทั้งหมด
 7: ตอกไข่ใส่ลงไป พักไว้สักครู่ให้ไข่พอสุกบ้างบางส่วน
คนให้ไข่กระจายตัว
 8: นำหัวหอมใหญ่ลงไปผัด
 9: ผัดพอหัวหอมใหญ่สุก
 10: ใส่มักกะโรนีที่เตรียมไว้ลงไป
 11: ผักกกะโรนีให้เข้ากัน
 12: ใส่ซอสมักกะโรนี สำเร็จรูป Prego รสดั้งเดิม ลงไป
 13: ผัดให้ซอสเคลือบมักกะโรนีให้ทั่ว

 14: ใส่ออริกาโน่ลงไป
 15: ผัดให้เข้ากันอีกครั้ง

 16: ใส่ต้นหอม มะเขือเทศ พริกชี้ฟ้า ลงไปผัด
 17: ผัดให้เข้ากันอีกครั้ง

 18: จัดใส่จานพร้อมเสิร์ฟ"
ข้าวเหนียวชุบไข่ทอด,"1: พรมน้ำใส่ข้าวเหนียวนิดหน่อย แล้วเอาเข้าไมโครเวฟแป๊บนึง ให้ข้าวเหนียวนุ่ม
 2: ปั้นข้าวเหนียวเป็นก้อนกลมๆ แบนๆ หนาประมาณ 1 ซม. เส้นผ่าศูนย์กลางประมาณ 6 ซม. ปั้นให้เสร็จทีเดียวเรียงรอไว้ก่อน
 3: ตอกไข่ไก่ 3 ฟองใส่ชาม
 4: ปรุงรสไข่ไก่ด้วยผงปรุงรสและพริกไทยดำ ตีให้เข้ากัน
 5: นำก้อนข้าวเหนียวที่ปั้นไว้แล้วลงชุบไข่ไก่ให้ทั่วทุกด้าน
 6: ทอดข้าวเหนียวที่ชุบไข่แล้วด้วยน้ำมันร้อนไฟกลางๆ ทอดให้สีเหลืองทองสวยทั้ง 2 ด้าน
 7: ทอดเสร็จแล้วสะเด็ดน้ำมัน ซับมันด้วยกระดาษ
 8: เสิร์ฟร้อนๆ กินเล่นเพลินๆ ก็ดี เพิ่มรสชาติด้วยน้ำจิ้มไก่หรือแจ่วได้ตามชอบ หรือกินคู่กับส้มตำ ไก่ย่าง ลาบ น้ำตกก็ไม่เลวนะ"
พริกแกง เจ,"1: ซอยผิวมะกรูด ตะไคร้ ข่า
 2: ฉีก หรือ ตัดพริกแห้งให้ชิ้นเล็กลง ใส่ในครก ใส่เกลือ 1 ชช.
 3: โขลกพริกแห้งกับเกลือแค่พอหยาบ แล้วใส่ผิวมะกรูด ตะไคร้ ข่า ลงไป โขลกให้แหลก
 4: แหลกได้ที่ เติมกะปิเจ แล้วโขลกให้เข้ากัน
 5: ได้พริกแกงสดๆ หอมๆ ไว้ปรุงเมนูต่างๆ"
หมึกผัดกระเทียมพริกไทย,"1: โขลกกระเทียม หรือสับจนละเอียด นำมาคลุกเคล้ากับพริกไทย

 2: ตั้งกระทะใส่น้ำมัน รอจนร้อน นำกระเทียมพริกไทยลงไปผัดจนหอม
 3: ใส่หมึกลงไป ปรุงรสให้กลมกล่อม
 4: ผัดให้เข้ากัน รอจนหมึกสุก
 5: ตักใส่จานพร้อมเสิร์ฟแล้วค่ะ"
แกงจืดซี่โครงหมูกับกะหล่ำปลี,"1: หั่นกะหล่ำปลีเป็นชิ้นขนาดพอคำ พักไว้
 2: ล้างซี่โครงหมูให้สะอาก พักไว้
 3: นำน้ำสะอาดใส่หม้อตั้งไฟ ใส่รากผักชีและกระเทียมหั่นเป็นชิ้นลงไป
 4: พอน้ำเดือดจัด ใส่ซี่โครงหมูลงไป
 5: พอซี่โครงหมูสุกดี ปรุงรสด้วยเกลือ น้ำปลา ซอสปรุงรส ชิมให้ได้รสตามที่ชอบ หลังจากนั้นลดไฟ เคี่ยวต่ออีกสักพัก
 6: เปิดไฟแรง พอน้ำเดือดใส่กะหล่ำปลีลงไป
 7: ต้มจนกะหล่ำปลีสุกดี หรือมีความสุกตามที่ต้องการ
 8: ยกลงจากเตา ตักใส่ถ้วย โรยหน้าด้วยผักชี"
"ผัดกะเพราโบราณ, ผัดกะเพราเนื้อสับ","1: ตั้งน้ำมันไฟกลาง ใส่พริกขี้หนู+กระเทียมโคลก ผัดจนเหลืองฉุน
 2: ใส่เนื้อสับ ผัดจนเริ่มแห้ง เติมน้ำ 1/2 ทัพพี
 3: ใส่ซอสปรุงรส ผัดพอให้มีสีเข้มขึ้นเล็กน้อย เติมน้ำปลา น้ำตาล ซอสหอย
 4: ผัดต่อเล็กน้อยใส่ใบกะเพราะ
ผัดต่อเล็กน้อย ปิดแก๊ส เป็นอันเสร็จสมบูรณ์"
แกงเทโพหมูสามชั้น,"1: หั่นหมูสามชั้นเป็นชิ้นหนาประมาณ 4 เซนติเมตร
หั่นผักบุ้งเป็นท่อน ยาวประมาณ 3 เซนติเมตร ช่วงที่เป็นยอดยาวประมาณ 5 เซนติเมตร
 2: นำหม้อตั้งไฟเอาพริกแกงผัดกับน้ำมันจนหอม
 3: ใส่กะทิลงไปผัดต่อจนแตกมัน
 4: ขยี้ใบมะกรูดใส่ลงไปตามด้วยหมูสามชั้นลงไปผัดจนเนื้อหมูเริ่มสุก
 5: เติมหางกะทิและลูกมะกรูด เคี่ยวต่อไปจนกว่าเนื้อหมูจะนุ่มใช้เวลาประมาณ 10 นาที
 6: ปรุงรสตามใจชอบเปรี้ยวนำเค็มตาม ออกหวานนิดหน่อย แล้วใส่ผักบุ้งลงไปตั้งไฟต่อไปจนผักบุ้งสลบเล็กน้อย
 7: เสิร์ฟกับข้าวสวยร้อนร้อนเวลากินอย่าลืมเป่านะคะ ถ้าจะให้ดีทานคู่กับกับข้าวรสหวานอีกหนึ่งอย่างจะดีมากเลย"
ตำไข่แดงเค็ม....นัวน้ำปลาร้า,"1: นึ่งไข่แดง 3 นาที (พักไว้ให้เย็น)

 2: ตำกระเทียม ตำพริกให้แหลก

 3: จากนั้นตำถั่วฝักให้พอแหลก

 4: ปรุงรสด้วยน้ำปลา ปลาร้า น้ำมะนาว และน้ำตาลปี๊บ หั่นมะเขือเทศลงไป(ตามชอบ) ใส่หอมแดงซอย ใบมิ้นท์ คนให้เครื่องเข้ากันดี
 5: จากนั้นก็ใส่ไข่แดงเค็มใช้ทัพพีคนเบาๆ โรยผักชีฝรั่ง

 6: จากนั้นก็คนให้เข้ากันอีกครั้ง"
แกงเลียงปลากรอบ,"1: ตำเครื่องแกงเลียง โดยเริ่มจากพริกไทย หอมแดง กะปิ โขลกให้เข้ากัน แล้วใส่กุ้งแห้งลงไปตำให้ละเอียด ใส่พริกขี้หนูสดบุบพอแหลลัก พอเดือดอีกครั้งก็ปิดไฟได้
 2: ใส่น้ำลงในหม้อแล้วตั้งไฟให้เดือด เทคนิคการทำแกงเลียงก็เหมือนแกงส้มครับ คือเริ่มจากน้ำน้อยๆก่อน ถ้าน้ำน้อยไปค่อยๆเติมน้ำ เพราะเแกงเลียงกับแกงส้มเป็นแกงที่มีผักมาก น้ำในผักจะออกมารวมด้วย ถ้าใส่น้ำเปล่ามากตั้งแต่แรกจะทำให้น้ำแกงใส รสจะอ่อนไปครับใส่เครื่องแกงที่ตำเสร็จแล้วลงละลาย รอให้เดือดอีกครั้งนึง
 3: ใส่น้ำเต้า กะว่าเริ่มสุกก็ใส่บวบ ข้าวโพดอ่อน รอให้สุกดี

 4: ใส่ปลาแห้ง

 5: ปรุงรสด้วยน้ำปลา ใส่ใบแมงลัก"
ปลากะพงทอดน้ำปลา,"1: ล้างปลากะพงให้สะอาด แร่เอาก้างออก ให้หมด ล้างน้ำ ใช้ผ้าสะอาดซับให้แห้ง
 2: นำปลากัพงไปทอดในน้ำมัน ใช้ไฟปานกลาง ก่อนทอดเหยาะน้ำส้มสายชูลงไปเพื่อไม่ให้น้ำมันกระเด็นทอดให้สุกเหลืองกรอบ พักไว้ให้สะเด็ดน้ำมัน
 3: ทำน้ำราด โดยใช้ไฟอ่อน-ปานกลาง คนให้ทั้ง 3 อย่าง(น้ำปลา น้ำตาลปี๊บ น้ำเปล่า) ให้เข้ากัน ออกเหนียวนิดๆ
 4: นำน้ำปลาที่ทำราดใส่ปลาที่ทอด โรยด้วยเม็ดมะม่วงหิมพานต์ ถั่วลิสง ตกแต่งให้น่ารับประทาน หรือทานร่วมยำมะม่วง หรือน้ำจิ้มมะนาวก็ได้ค่ะ"
แกงบวดฟักทอง,"1: นำฟักทองไปปอกเปลือกล้างให้สะอาด ชั่นเป็นชิ้นพอคำ จากนั้นนำไปตั้งไฟนึ่งประมาณ 15 นาที
 2: จากนั้นทำน้ำกะทิ โดยเคี่ยวกะทิกับน้ำตาลทรายและเกลือให้ละลาย รอให้กะทิเดือดซักครู่แล้วปิดเตา
 3: นำฟักทองที่นึ่งเสร็จแล้วมาตักใส่ถ้วยราดด้วยน้ำกะทิ"
แกงขี้เหล็กปลาย่าง,"1: นำใบขี้เหล็กมาต้มในน้ำ ใส่กระทะใบใหญ่ นาน 10 นาที ตักน้ำออก ใส่น้ำใหม่เข้าไป ต้มต่ออีก 10 นาที
 2: บิดน้ำออกเบาๆ พักไว้
 3: ตำเครื่องแกง ( ตะไคร้ หัวหอมแดง ขมิ้น พริกสด กระเทียม พริกไทย กะปิ เกลือเม็ดใหญ่ )
 4: แกะเนื้อปลาย่าง
 5: ต้มหางกะทิ พอร้อน ใส่เครื่องแกงลงไปละลายให้เข้ากัน
 6: หางกะทิเริ่มเดือดแล้วใส่ใบขี้เหล็กไปได้เลย
 7: ใส่หัวกะทิ และปลาย่างลงไป พร้อมปรุงรส เมื่อเดือดอีกครั้ง ปิดเตา ตักใส่ภาชนะ พร้อมทานครับ"
ผัดผักกระเฉดน้ำมันหอย,"1: ผักกระเฉด ซื้อแบบสำเร็จ แบบลอกเปลือกหุ้มนิ่มๆ ออกให้เสร็จสรรพ เราก็แค่เอามาเด็ดเอายอดอ่อน และล้างให้สะอาดค่ะ พักให้สะเด็ดน้ำ
 2: ปลอกเปลือกกระเทียม ล้างและเด็ดขั้วพริกให้เรียบร้อย แล้วในมีดทุบไปที่กระเทียมและพริกแรงๆ พอแตก
 3: นำกระเทียมและพริก มาวางไว้บนผักกระเฉด ใส่เครื่องปรุง (ซอสปรุงรส น้ำมันหอย น้ำตาลเล็กน้อย) ด้านบนผักกระเฉดสดเช่นกัน ใส่น้ำสะอาดลงไปอีกนิดหน่อย
 4: ตั้งกระทะให้น้ำมันร้อน โดยใช้ไฟแรง พอกระทะร้อนลดไฟเหลือไฟกลาง ใส่ผักกระเฉดที่มีเครื่องปรุงลงไป แล้วผัดๆๆๆ ให้เข้ากันจนผักกระเฉดสุก ปิดไฟ ตักใส่จานพร้อมเสิร์ฟค่ะ"
แหนมผัดวุ้นเส้นใส่ไข่,"1: ตั้งกระทะให้ร้อน ใส่น้ำมันลงไป ใส่กระเทียมลงไปเจียวให้เหลือง หอม
 2: ใส่แหนมยีหรือสับลงไปผัดให้ร้อนทั่ว ถ้าเป็นแหนมผสมหนังหมูจะติดกระทะถ้าไม่ใช้กระทะเทฟลอนนะครับ
 3: ใส่วุ้นเส้นแช่น้ำ ปรุงรสด้วยน้ำตาลทราย น้ำปลาและน้ำมันหอย ผัดคลุกเคล้าให้เข้ากัน
 4: ตักส่วนผสมทั้งหมดไปไว้ข้างหนึ่งของกระทะ ตอกไข่ลงไป ตีๆให้ไข่แตกเกลี่ยให้ไข่สุกแล้วตักส่วนผสมมาทับไข่ กะว่าไข่สุกดีก็ผัดคลุกเคล้าให้เข้ากัน
 5: ใส่ต้นหอม ผัดให้เข้ากันอีกที ปิดไฟได้"
แกงส้มผักกระเฉด,"1: เด็ดยอดผักเฉด ล้างน้ำให้สะอาด
พักไว้
 2: พริกแกงส้ม
ตำพริกสด หอมแดง กระชาย เกลือป่นให้ละเอียด จากนั้นใส่กระปิ พริกป่น ตัวปลากระป๋อง 2-3ตัว ตำให้เป็นเนื้อเดียวกัน
 3: ตั้งน้ำให้เดือด ใส่พริกแกงลงไป
ปรุงรสด้วย น้ำมะขามเปียก น้ำตาลน้ำปลา น้ำปลากระป๋อง ชิมรสตามชอบ
 4: รอให้เดือดอีกรอบ ใส่ผักกระเฉด กุ้ง ตัวปลากระป๋องที่เหลือ น้ำมะนาว แล้วยกลง
 5: เสร็จแล้วค่ะ"
หลนเนื้อปู,"1: เตรียมวัตถุดิบกันก่อนนะค่าา
 2: ใส่กะทิเลยจ้ะ
 3: ใส่เต้าเจี้ยวต่อเลยย
 4: ตามด้วยน้ำตาลปี๊บกับมะขามเปียก
 5: ใส่พริกหยวกจ้ะ
 6: ใส่ตะไคร้และแก้วหอม
 7: ใส่เนื้อปูจ๋าเลยย นางเอกของเรา
 8: ใส่ผักชีเลยจ้ะ ใกล้เสร็จแล้วว
 9: ใส่พริกหวาน เพิ่มสีสันหน่อยเนอะ
 10: เสร็จแล้วจ้าา! ใส่ใบมะกรูดสุดท้ายน้ะ"
ไก่เบตง,"1: ต้มไก่ด้วยขิงแก่ ต้นหอม รากผักชี ใส่น้ำพอท่วม ต้มไก่ให้สุกประมาณ 15 นาที ปิดเตาแช่ไก่ทิ้งไว้จนเย็น
 2: ใส่น้ำมันรำข้าว เจียวกระเทียมให้สุกหอมพักไว้
 3: ทำน้ำราดไก่ ใส่ส่วนผสมทุกอย่างลงไป ต้มให้เดือด ชิมรสชาติตามชอบ พักไว้
 4: หั่นไก่ขนาดดีพอดีคำ
 5: ราดน้ำซอส โรยกระเทียมเจียว พร้อมทานครับ"
หมูสามชั้นผัดตะไคร้,"1: โขลกกระเทียมกับพริกให้ละเอียด
 2: นำตะไคร้มาล้างน้ำแล้วซอยให้ละเอียด
 3: ตั้งกระทะใช้ไฟปานกลาง เมื่อกระทะเริ่มร้อนได้ที่ ใส่น้ำมันพืช
 4: ใส่กระเทียมและพริกสดที่โขลกไว้ลงไปผัด สักพักใส่ตะไคร้ตามลงไป ผัดให้เข้ากัน
 5: ปรุงรสด้วยน้ำปลา น้ำมันหอย น้ำตาล ผัดให้เข้ากัน ใส่หมูสามชั้นตามลงไป เติมน้ำเปล่าเล็กน้อยพอไม่ให้แห้ง
 6: ปิดฝาอบไว้ 2-3 นาที เปิดฝาคนหมูเพื่อไม่ให้ไหม้ติดกระทะ
 7: ฉีกใบมะกรูดใส่ แล้วคนให้เข้ากัน ปิดไฟ ตัดเสิร์ฟ"
ต้มจืดผักกวางตุ้ง,"1: ต้มน้ำให้เดือด ใส่คนอร์ซุปรสหมูก้อน และกระดูกหมู (กระดูกอ่อน) ลงไป ปรุงรสด้วยน้ำปลาตามชอบ
 2: นำผักกวางตุ้งไปทำความสะอาด หั่นเป็นท่อน แล้วน้ำไปลวกน้ำ 1 รอบ
 3: ใส่น้ำมันในกระทะ หั่นกระเทียมเป็นฝอยแล้วนำไปเจียว
นำผักกวางตุ้งที่ลวกไว้ลงไปผัด
 4: นำข้อ 3 มาใส่ในน้ำซุปกระดูกหมูที่เตรียมไว้ ต้มให้เดือดอีกครั้ง"
ยำผักกาดดอง,"1: ซอย พริก หอมแขก กระเทียม
ล้างมะนาวให้สะอาด
 2: เอิดกระป๋องเทน้ำผักกาดดองทิ้งให้หมด แล้วหั่นเป็นชิ้นพอกีคำ

 3: หั่นใส่จานแล้วใส่ของที่ซอยไว้ลงไป
จากนั้นก็บีบมะนาวใส่น้ำปลาแล้วคลุกให้เข้ากัน เสร็จจ้า"
ต้มจืดไชเท้า ใส่ปลาหมึกแห้ง,"1: เตรียมส่วนผสมหลักๆ กันค่ะ
 2: มาเริ่มทำกันค่ะ
1. ต้มน้ำกับกระดูกหมู2. คอยช้อนฟองออก และต้มต่ออีกประมาณ 20 นาที3. ต่อมาใส่หัวไชเท้าหั่นเรียบร้อยแล้วลงไป4. ใส่ปลาหมึกแห้ง และเกลือค่ะ
 3: ต่อมา
1. ใส่พริกไทยดำ ตำแล้วลงไป2. ตามด้วยคนอร์ก้อน3. และปรุงรสด้วยซีอิ๋วขาว4. ต้มต่ออีกประมาณ 10-15 นาทีค่ะ
 4: เสร็จแล้วค่ะ
ต้มจืดกระดูกหมูหัวไชเท้า ใส่ปลาหมึกแห้ง เป็นเมนูที่ทำง่ายและไม่ต้องเตรียมอะไรมากทานและซดตอนร้อนๆ อร่อยค่ะ"
ผัดกระเพราไก่-ไข่ดาว,"1: โขลกพริกกับกระเทียมให้แหลก
 2: ตั้งกระทะให้ร้อนทอดไข่ดาวพอให้สุก
 3: ทอดไข่ดาวเสร็จแล้วไม่ต้องล้างกระทะเติมน้ำมันลงไป พอกะทะร้อนใส่พริกกับกระเทียมลงไปผัดก่อนให้พอเหลืองแล้วตามด้วยไก่ สับ ลงไปผัดด้วยกัน กลิ่นจะฉุนฉุนหน่อยจ้ะ
 4: พอไก่สุกใส่เห็ด ที่หั่นแล้วลงไป ผัดให้เข้ากันแล้วปรุงรส ใส่ น้ำมันหอยซีอิ๊วขาวน้ำปลาน้ำตาลลงไปผัด เติมน้ำลงไปซัก 2 ช้อนโต๊ะ ให้แลดูขลุกขลิกจ้าเดี๋ยวน้ำมันจะออกมาเพิ่มอีกนิดนึง
 5: พอเดือดปุดๆให้ใส่ใบกระเพราลงไปผัดแป๊บนึงจ้ะอย่าผัดนานนะ เป็นอันเสร็จแล้วจ้าหอมมากๆเลย
 6: ตักใส่จานพร้อมเสิร์ฟกับข้าวสวยร้อนๆได้แล้วจ้า"
ไข่เค็มใบเตย,"1: เตรียมส่วนประกอบ
 2: ผสมดินสอผอง​ และเกลือลงในถาด​ ใส่น้ำ​ นวดให้เข้ากัน
 3: นำส่วนผสมที่ได้มาหุ้มไข่เป็ดทุกฟองให้มิด
 4: หุ้มไข่เป็ดตามรูป
 5: นำไข่ที่ได้มาคลุกด้วยใบเตยป่น
 6: ใส่ถาด
และหุ้มด้วยพลาสติกทิ้งไว้​ 3-4 วันทอดไข่ดาวได้ทิ้งไว้​ 7​ วันนำมาต้มเป็นไข่เค็มใบเตยได้"
ปลาหมึกย่าง,"1: ล้างปลาหมึกให้สะอาดและไม่มีกลิ่นคาว
 2: หมักปลาหมึกด้วย ซีอิ๊วดำเข้าด้วยกัน (หมักไว้ 15 นาที)
 3: นำปลาหมึกขึ้นย่างด้วยหม้ออบลมร้อน ประมาณ 15 -20 นาที
 4: อย่าย่างให้สุกมากเพราะจะเหนียวและแข็ง
 5: หั่นเป็นชิ้นพอดีคำ จัดใส่จาน เสิร์ฟคู่กับน้ำจิ้มซีฟู้ด"
ก๋วยเตี๋ยวคั่วไก่,"1: ล้างอกไก่ให้สะอาด ลอกหนังไก่แยกไว้ หั่นเนื้อไก้ชิ้นพอคำ หมักด้วยรากผักชี กระเทียม พริกไทย ปรุงรสด้วยซีอิ๊วขาวเล็กน้อย พักไว้
 2: ลอกเส้นใหญ่ให้ไม่ติดกัน ใส่ซีอิ๊วดำ ซีอิ๊วขาว น้ำปลาเล็กน้อย คลุกให้เข้ากัน
 3: นำเห็ดหูหนูขาวมาแช่น้ำ ล้างให้สะอาด แล้วหั่นชิ้นพอคำ พักให้สะเด็ดน้ำ ผักกาดหอมทำเช่นเดียวกัน
 4: ทำเครื่องโรยกันก่อนค่ะ หั่นไก่เชียงเป็นลูกเต๋าเล็กๆ นำไปทอดน้ำในกะทะ พอน้ำเริ่มงวดน้ำมันจะเริ่มออกมา ผัดไวๆ ด้วยไฟอ่อนๆ เพื่อไม่ให้ไหม้ ตักพักไว้สำหรับหนังไก่ นำมาขูดเอามันไก่ใต้หนังออกแผ่บนตะแกรงแล้วนำเข้าเตาอบ อบจนน้ำมันออก และหนังไก่กรอบนำออกมาพักให้เย็น แล้วหั่นเป็นชิ้นเล็กๆ พักไว้ 
 5: ตั้งกะทะใส่น้ำมันเล็กน้อย ใส่ไก่ลงไปผัด ตามด้วย เห็ดหูหนูขาว
 6: พอไก่เริ่มสุก ตอกไข่ใส่ลงไปคนให้เข้ากันตามด้วยเส้นใหญ่ ไม่ต้องปรุงรสเพิ่ม ผัดจนเส้นเกรียม
 7: ตักใส่จานที่รองผักกาดขาวไว้ โรยหน้าด้วยต้นหอม ผักชี และเครื่องโรยที่ทำไว้
 8: ทานกับซอสพริก และพริกน้ำส้ม"
ข้าวผัดกระเทียม 🐲 (bbq plaza),"1: ซอยต้นหอม แครอท และกระเทียมเตรียมไว้
 2: ตั้งกระทะไฟอ่อน ตามด้วยน้ำมันพืช นำกระเทียมลงไปทอดให้เหลืองกรอบ ตักขึ้นพักไว้
 3: เทน้ำมันพืชออกจากกระทะ ให้เหลือปริมาณเล็กน้อย เพิ่มไฟเป็นไฟกลาง นำแครอทซอยลงไปผัด
 4: ตามด้วยข้าสวย ปรุงรสด้วย อร่อยชัวร์ และ น้ำตาลทราย ชิมรสตามชอบ
 5: นำกระเทียมที่ทอดไว้ส่วนนึง ลงไปผัด
 6: โรยต้นหอม ปิดไฟ
 7: เสร็จแล้วค่าาา 🌿"
ไก่กรอบทอดกระเทียม,"1: ล้างไก่ให้สะอาด หั่นเป็นลูกเต๋าขนาดประมาณ 1นิ้ว
 2: นำไก่ใส่ถ้วย ใส่ซอสหอยนางรม ซอสปรุงรส ผงปรุงรส ขยำให้เข้ากัน พักในตู้เย็นช่องธรรมดาประมาณ 20-30 นาที
 3: ตั้งกระทะ ใส่น้ำมันพืชพอให้ท่วมกระเทียมรอให้น้ำมันร้อนจัด ใส่กระเทียมคนตลอดเพื่อให้สีกระเทียมสวยงามสม่ำเสมอ ใส่เกลือลงไป ตักขึ้นพักไว้
 4: เติมน้ำมันในกระทะให้พอท่วมไก่ รอให้น้ำมันร้อน ใส่ไก่ลงไปทอดให้สุกเป็นสีเหลืองทอง ตักออกสะเด็ดน้ำมัน ใส่จานโรยด้วยกระเทียมที่ทอดไว้เสิร์ฟ"
แกงคั่วสับปะรดกุ้ง,"1: หั่นสับปะรดเป็นชิ้นเล็กใหญ่ตามชอบ บีบน้ำออกเล็กน้อย เพิ่มให้สับปะรดดูดน้ำตอนแกง..กุ้งสดแกะเปลือกผ่าหลังเอาเส้นดำออก..
 2: กระทะตั้งไฟใส่กะทิลงไป ใส่พริกแกงคั่วผัดให้หอม แตกมันสีสวย..ค่อยเติมกะทิส่วนที่เหลือลงไป
 3: ใส่สับปะรดลงไป ปรุงรสด้วยน้ำมะขามเปียก น้ำตาลมะพร้าว เกลือและน้ำปลาดี..
 4: ชิมรสชาติให้ได้สามรส เปรี้ยว หวาน เค็มอร่อยถูกใจ แล้วค่อยใส่กุ้งลงไป..
 5: ตักใส่ชามเสริฟ์พร้อมอร่อยแบบแกงไทยๆได้เลยเจ้าค่ะ"
ผัดกะเพราปลากะพง,"1: นำปลากะพงมาล้างให้สะอาดและหั่นเป็นชิ้นๆ เตรียมใส่จานไว้ พร้อมแป้งไว้สำหรับชุบทอดกรอบ
 2: นำผักที่เตรียมไว้มาหั่นเป็นชิ้นๆรอผัด
 3: ตำกระเทียมกับพริกให้แหลกแล้วจึงใส่พริกไทยดำบุบให้เม็ดแตก
 4: นำเนื้อปลากะพงมาคลุกกับแป้งชุบทอดกรอบให้แป้งติดให้ทั่วเนื้อปลากะพงแล้วตั้งกะทะใส่น้ำมันพืชเพื่อทอดเนื้อปลากะพงให้เหลือง ตักใส่จานพักไว้
 5: ตั้งกะทะใส่น้ำมันพืชพอร้อนเอากระเทียม พริกขี้หนู และพริกไทยดำที่ตำไว้แล้วใส่ลงในกระทะ
 6: พอกระเทียมเริ่มเหลืองให้ใส่ข้าวโพดอ่อน แครอท ถั่วฝักยาวและหอมใหญ่ที่หั่นเป็นขิ้นไว้แล้วใส่ลงไปผัด
 7: พอผักใกล้สุกให้ใส่เครื่องปรุงรสคือซอสหอยนางรม ซีอิ๊วขาว น้ำตาลทราย ใบกระเพรา พริกเหลืองซอยผัดเสร็จแล้วจึงใส่เนื้อปลากะพงที่ทอดไว้แล้วคลุกเคล้าให้เข้ากัน ตักใส่จาน"
ต้มโคล้งปลาสลิดทอด,"1: ตั้งหม้อบนเตา ต้มน้ำซุปให้เดือด ทุบตะไคร้และข่าให้แตกแล้วนำไปใส่ในน้ำเดือด
 2: ทุบหอมและกระเทียมใส่ลงไปจนหอมเริ่มนุ่ม ปรุงรสด้วยน้ำตาลและน้ำปลา
 3: ปิดไฟแล้วปรุงรสด้วยน้ำมะขามเปียก ใส่ใบมะกรูด ผักชีฝรั่ง พริกป่น ใส่เนื้อปลาที่แกะก้างออกแล้ว ปิดฝาไว้ซักครู่ ยกพร้อมเสิร์ฟ"
น้ำพริกปลาร้า,"1:  1
- นำกระเทียม หอมแดง พริกขี้หนู มาปอกเปลือกและเด็ดขั้วให้เรียบร้อย- ตั้งกระทะ ใส่น้ำเปล่า จากนั้นนำพริกขี้หนู กระเทียม หอมแดงที่เตรียมไว้ลงคั่วในกระทะ คั่วจนน้ำแห้ง และมีสีเหลือง จึงตักขึ้น
 2:  2
- นำปลาดุกมาแกะก้างออกเอาแต่เนื้อ
 3:  3
- นำพริกขี้หนู กระเทียม หอมแดงที่คั่วมาเรียบร้อยแล้ว มาโขลกให้เข้ากันจนละเอียด- ตักเครื่องน้ำพริกที่โขลกใส่ชาม
 4:  4
- ใส่น้ำปลาร้าที่ต้มสุกแล้วลงไปในถ้วยน้ำพริก
 5:  5
- ปรุงรสด้วยน้ำมะนาว น้ำปลา คนให้เข้ากัน ชิมรสตามชอบ ก็จะได้น้ำพริกปลาร้าอร่อย สะอาด น่าทาน ไว้ทานมื้อเย็นแบบไม่อ้วนและมีประโยชน์ด้วยสมุนไพรจากเครื่องน้ำพริกค่ะ"
