ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
ไข่เจียวกากหมู,"ไข่เป็ด,  กากหมู, น้ำปลา,  พริกไทย",,อยากกินไข่เจียวอ้วนๆ มี กากหมู ข้าว ทำอะไรกินดี ที่อร่อยๆ เด็กอ้วนถุกใจ,,
ไข่เจียวกุ้ง,"ไข่ไก่,  กุ้ง,  ซีอิ้วขาว,  น้ำมัน, พริกไทย",,อยากกินไข่เจียวกุ้ง,,
ไข่เจียวทรงเครื่องซอสมันกุ้ง,"ไข่ไก่, น้ำปลา, ซอสปรุงรส, เนื้อกุ้ง, ผงฟู, มันกุ้ง, น้ำสต๊อกไก่, ซีอิ๊วขาว, น้ำตาลทราย, กุ้ง, ผัก, แป้งข้าวโพด, ต้นหอมซอย",,ไข่เจียวลัคชู ใส่เครื่องได้ตามใจชอบ กุ้ง ผัก และเครื่องปรุงรสตามใจชอบ,,
ไข่เจียวทูน่าพริกสับ,"ปลาทูน่า,  พริกขี้หนู,  ไข่ไก่,  น้ำปลา, เล็กน้อย, น้ำมันพืช",,อยากกินทูน่า พริก ไข่ คาร์บน้อย ผักกาด เหมาะกับคนสวยแบบเรา,,
ไข่เจียวสามเกลอ,"ไข่ไก่, ไข่แดง, ไข่เยี่ยว, หมู, กุ้ง, น้ำปลา, ผงปรุงรส",,มี ไข่แดง ไข่เยี่ยวม้า หมู กุ้ง ไข่ ทำเมนูอะไรดี อร่อยๆ,,
ไข่เจียวหมูสับผัดกะเพรา,"ไข่ไก่, หมู, ใบกะเพรา, พริก, กระเทียม, ซอสหอยนางรม, น้ำปลา, น้ำตาล",,อยากินไข่ไก่ ใส่หมู พริก ใบกะเพรา รสชาติเด็ดๆ,,
ไข่ดองน้ำปลา,"ไข่ไก่, น้ำปลาดี, น้ำสะอาด, น้ำตาลมะพร้าว, พริกขี้, พริกจินดา, กระเทียม",,ไข่ดองน้ำปลาอร่อยๆ,,
ไข่แดงดองน้ำปลากวน,"ไข่ไก่, น้ำปลา, น้ำตาลมะพร้าว, น้ำตาลทราย, น้ำเปล่า",,ไข่แดงดองน้ำปลา ใส่น้ำปลาอร่อยๆ กินแล้วเยิ้มๆ,,
ไข่ตุ๋นแกงเขียวหวาน,"ไข่ไก่, พริกแกงเขียวหวาน, น้ำเชื่อม, น้ำปลา, นมสดจืด, ปูอัด, ไส้กรอกไก่, พริกชี้ฟ้า, โหระพา",,มี ไข่ พริกแกง ปูอัด นมสด ทำอะไรกินดี ,,
ไข่ตุ๋นทรงเครื่อง,"ไข่ไก่, ต้นหอม, ซีอิ๊วขาว, น้ำมันหอย, น้ำตาลทราย, พริกไทย, น้ำมันพืช, แครอท, กุ้ง, น้ำเปล่า, เห็ดหอม, กุ้ง, แครอท",,อยากกินไข่ตุ๋นที่เต็มไแด้วยเครื่องมากมาย แครอท เห็ด กุ้ง กินแล้วเด็กชอบ,,
ไข่ตุ๋นวุ้นเส้น,"วุ้นเส้น, ไข่ไก่, นมสด, กุ้งสับ, แครอท, ซอสหอยนางรม, น้ำตาลทราย, พริกไทย, น้ำมันพืช, ต้นหอม, กุ้ง",,มี ไข่ วุ้น แครอท กุ้ง ทำอะไรดี,,
ไข่เบคอนซ่อนชีส,"ไข่ไก่, เกลือ, พริกไทย, ชีส, เบคอน",,มีเบคอน ไข่เบอร์ 0  เกลือ ชีส หมู ทำอะไรกินดี  ไขมันน้อย ,,
ไข่พะโล้,"ไข่ไก่, ไข่นกกระทา, เครื่องพะโล้, ซีอิ้วดำหวาน, ผักชี, น้ำมัน, น้ำ",,อยากทำไข่พะโล้พิชิตใจ ,,
ไข่ลูกเขย,"ไข่เป็ด, พริกชี้ฟ้าแห้ง, หอมเจียว, ผักชี, น้ำปลา, น้ำตาลปี๊ป, น้ำมะขาม, น้ำมัน",,เมนูที่เด็กชอบๆ หวานๆ เค็ม ๆ ใช้ไข่ ผัก หอมเจียว,,
ไข่หวานต้นหอมญี่ปุ่น,"ต้นหอมญี่ปุ่น, ไข่ไก่, โชยุ, มิริน, น้ำตาล, น้ำสะอาด",,เมนูกินง่าย หวานๆ ทำจากไข่ มีมิริน โชยุ,,
ไข่หวานสอดไส้ชีส,"ไข่ไก่, น้ำเปล่า, น้ำเชื่อม, เกลือ, พริกไทยดำ, ชีส, น้ำมันถั่วเหลือง, ต้นหอม, ซอสมะเขือเทศ",,อยากทำไข่้หวานที่เท่กว่าปกติ แนะนำหน่อยว่าจะทพอะไรดี ในตู้เย็นตอนนี้มี ชีส ไข่ เกลือ ต้นหอม มะเขือเทศ,,
ไข่ออมเล็ต,"ไข่ไก่, นม, ผงปรุงรส, โบโลน่า, หัวหอม, มะเขือเทศ, เนย",,อยากกินไข่อร่อยๆ ใส่แฮม หัวหอม มะเขือเทศ,,
คอนเฟลกคาราเมล,"คอนเฟลก, ถั่ว, น้ำตาล, เกลือ, วิปปิ้งครีม, น้ำผึ้ง, เนยจืด, กลิ่นวนิลา",,มีคอนเฟลกเหลือทำอะไรกินได้บ้าง,,
คอร์นชีสยืด,"ข้าวโพด, นมข้นจืด, เนยจืด, เกลือ, น้ำตาล, ชีส",,มีข้าวโพก ชีส เนย ทำอาหารอร่อยๆ ,,
คอหมูย่าง น้ำจิ้มแจ่ว,"สันคอหมู, ซีอิ้วขาว, น้ำมันงา, ผงปรุงรส, น้ำตาลทราย, รากผักชี, เม็ดพริกไทย, กระเทียม, น้ำมะขามเปียก,  หอมแดง, น้ำตาลปี๊บ, น้ำปลา, พริกป่น, ข้าวคั่ว, ผักชี, ต้นหอม",,อยากกินสันคอหมู ปรุงรสอร่อย เค็ม กับน้ำจิ้มดีๆ,,
คาราเมลมัคคิอาโต้,"นมสด, นมข้นจืด, คาราเมลไซรัป, กาแฟสด",,อยากกินกาแฟ แต่หวานๆหน่อย ใส่คาราเมลน่าจะยิ่งดี,,
คุ้กกี้ตัวหนอนไส้สับปะรด,"แป้งสาลีอเนกประสงค์, ผงฟู, เนยสด, เกลือ, น้ำตาลไอซิ่ง, กลิ่นวนิลา, ไข่ไก่, สับปะรด",,อยากทำคุกกี้ ใส่แป้ง เนย เกลือ น้ำตาลไอซิ่ง สัปปะรดเยอะๆ,,
คุ๊กกี้ธัญพืชไร้แป้ง,"มะม่วงหิมพานต์, อัลมอนด์, วอลนัท, เมล็ดฟักทอง, ข้าวโอ๊ต, แครนเบอรี่, งาขาว, งาดำ, ไข่ขาว, น้ำผึ้ง, ลูกเกด",,ทำขนมเฮลตี้ๆ มี ข้าวโอ๊ต เมล็ดฟักทอง ไข่ งา ,,
คุ้กกี้เนยสด,"แป้งอเนกประสงค์, เบคกิ้งโซดา, เนยจืด, น้ำตาลทรายละเอียด, เกลือ, ไข่ไก่, กลิ่นวนิลา",,อยากกินคุกกี้เนยสด,,
คุกกี้บราวนี่ (Brownie Cookies),"เนย, ช็อกโกแลต, ไข่ไก่, น้ำตาลทรายแดง, น้ำตาลทราย, แป้งสาลีอเนกประสงค์, ผงฟู, เกลือ",,อยากทำขนมจีบแฟน ใส่ช้อกโกแลต ไข่ น้ำตาล แป้ง อร่อยๆ ,,
คุกกี้ไมโครเวฟ,"แป้งอเนกประสงค์, น้ำเชื่อม, ไมโล, เนยจืด, นมสด, ผงฟู",,อยากทำคุกกี้ง่ายๆ ใส่ไมโครเวฟ ทำมาจากไมโล เนย นม,,
เค้กกล้วยหอม,"แป้ง, ไข่ไก่, ผงฟู, เบคกิ้งโซดา, เกลือ, น้ำมัน, น้ำตาลทราย, กล้วยหอมสุกบด",,อยากกินเค้กอร่อยๆ ใส่ แป้ง ช้อกดกแลต ผงฟู กล้วย เกลือ ,,
เค้กกล้วยหอมคลีน,"กล้วยหอม, ข้าวโอ๊ต, ไข่ไก่, นมอัลมอนด์, เบคกิ้งโซดา, กลิ่นวนิลลา, น้ำมัน",,อยากกินของหวานคลีนๆ ใช้ข้าวโอ๊ด กล้วย ไข่ไก่,,
เค้กกล้วยหอมไมโครเวฟ,"กล้วยหอม, ไข่ไก่, น้ำตาล, เนยละลาย, นม, กลิ่นวนิลลา, แป้งอเนกประสงค์, เกลือ, ผงฟู , ผงโกโก้, น้ำผึ้ง, อัลมอนด์",,อยากกินขนมหวานทำง่ายๆ ใส่ไมโครเวฟก็ทำได้ มี ไข่ น้ำตาล กล้วย,,
เค้กแครอท,"แครอท, แป้งเค้ก, ผงฟู, เบกกิ้งโซดา, ผงชินนามอน, ไข่ไก่, น้ำตาลทรายขาว, น้ำตาลทรายแดง, น้ำมัน, เม็ดมะม่วงหิมพานต์, อัลมอนด์, อินทผาลัม, กลิ่นวานิลลา, ครีมชีส, เนย, น้ำมะนาว",,มีแครอท อัลมอนด์ แป้ง น้ำตาล ผงฟู ไข่ ครีมชีส เนย ทำอะไรกินดี,,
เค้กทูโทน เค้กสองสี,"Easy Bake Moist Chocolate Cake, Easy Bake Classic Vanilla Cake, สตรอว์เบอร์รี, วิปปิ้งครีม, น้ำตาลทราย, ไข่ไก่, ดอกไม้ ",,อยากทำเค้ก วิปปิ้งครีม รสช้อกดกแลต กับรส วานิลลา,,
เค้กใบเตยสูตรนึ่งแบบไม่ใช้เตาอบ,"แป้งสาลีเอนกประสงค์, น้ำใบเตย, กะทิ, น้ำตาลทราย, เกลือ, ผงฟู, เบคกิ้งโซดา, น้ำมะนาว",,มีใบเตย แป้ง กะทิ เกลือ น้ำตาล  ผงฟู ทำอะไรกินดี อยากได้เมนูที่มีรสชาติหวาน ,,
เค้กมะพร้าวอ่อนสูตรนึ่งทำง่ายไม่ใช้เตาอบ,"แป้งสาลีเอนกประสงค์, เนื้อมะพร้าวอ่อน, น้ำมะพร้าว, กะทิ, เกลือ., ผงฟู, เบคกิ้งโซดา, น้ำตาลทราย, น้ำมะนาว",,มีมะพร้าว แป้ง กะทิ เกลือ น้ำตาล อยากทำเมนูของหวาน,,
เคบับไก่,"น่องไก่, ผงยี่หร่า, ผงลูกผักชี, ผงมาซาล่า, ผงกะหรี่, ผงปาปริก้า, พริกไทยดำตำ, กระเทียม, หอมหัวใหญ่, โยเกิร์ต, มายองเนส, กระเทียม, พริกไทย, เนยจืด, แป้งข้าวโพด, นมจืด, ชีส, มะเขือเทศ , ผักสลัด, แผ่นแป้ง",,มีน่องไก่ติดสะโพก พริกไทย กระเทียม ผงต่างๆ ชีส นม เนื้อ แผ่นแป้งเคบับ ,,
เครมบรูเล่,"วิปปิ้งครีม, ไข่แดง, น้ำตาลทราย, กลิ่นวานิลลา",,มีไข่ วิปปิ้งครีม น้ำตาลทราย ทำอะไรกินดี เป็นของหวาน,,
จิ้นตุ๊บ,"เนื้อวัว, น้ำเปล่า, เกลือ, ซีอิ๊วขาว, น้ำตาลทราย, ผงชูรส, รากผักชี, กระเทียม, พริกไทยดำ, ตะไคร้, ข่า",,อยากเอา วัว กระเทียม ตะไคร้ ข่า ซ๊อิ้ว มาทำอาหาร ที่ไม่เหมือนใคร,,
เจี๋ยนปลาทับทิม สูตร 2 น้ำมะขามเปียก,"ปลา,  เกลือ,  น้ำมัน,  กระเทียม,  ขิง,  เต้าเจี้ยว,  ซอสหอยนางรม,  น้ำตาลปี๊บ,  น้ำมะขามเปียก,  ต้นหอม,  พริกจินดา,  น้ำเปล่า",,มีปลาทับทิมตัวใหญ่ เกบือ น้ำมัน กระเทียม จิง ซอสหอย แครอท เห็ด ทำเมนูอะไรได้บ้าง,,
แจ่วหมูโบราณ,"หมูสับ,  พริกแห้ง,  ข่าหั่นแว่น,  ตะไคร้ซอย,  หอมแดง,  กระเทียม,  น้ำปลา,  น้ำตาล,  ผงปรุงรส,  เกลือ,  กะปิ",,มีหมู พริก น้ำตาล ตะไคร้ หอมแดง เกลือ ทำเมนูอะไรได้บ้าง,,
โจ๊กข้าวโอ๊ต,"ข้าวโอ๊ต, น้ำเปล่า, ไข่ขาว, บร็อคโคลี, กุ้ง, เกลือ, สาหร่าย",,มีข้าวโอ๊ต ไข่ บร็อคโคลี กุ้ง ทำอะไรกินได้บ้าง คาร์บน้อย ดีต่อสุขภาพ,,
โจ๊กต้มยำทะเล,"ข้าวสวย, น้ำสะอาด, กุ้งขาว, หมึกกล้วย, พริกเผา, ข่า, ตะไคร้, ใบมะกรูด, พริกจินดา, น้ำสะอาด, น้ำปลา, น้ำมะนาว, เปลือกกุ้ง, ผักชี",,มีข้าวสวย หมึก ปู กุ้ง พริก ทำเมนูแซ่บๆ กินง่าย,,
ชาเขียวนมทูโทน,"ชาไทย, ชาเขียว, โกโก้เหนียว, นมสด, น้ำแข็ง, นมจืด, นมข้นหวาน",,มีชาเขียว ชาไทย นม ทำอะไรกินได้บ้าง,,
ชาเขียวนมสด,"ผงชาเขียว, น้ำร้อน, นมข้นหวาน, น้ำตาลทราย, นมสดรสจืด, น้ำแข็ง",,มีผงชาเขียว นม น้ำร้อน อยากกินให้มันขมๆ ,,
ชาเขียวปั่น,"ชาเขียวญี่ปุ่น, นมสด, น้ำตาลทรายแดง, กลิ่นวานิลลา, น้ำแข็ง",,อยากกินชาเขียวปั่น,,
ชาเขียวมัทฉะลาเต้,"ผงชาเขียว, น้ำเปล่า, นมสด, น้ำตาลทราย, นมข้นหวาน, น้ำแข็ง, นมสด",,มีผงมัทชะ น้ำเปล่า นมสด และใจ จะทำเมนูอะไรดี,,
ชาเขียวมัทฉะลาเต้ลาวา,"ผงชาเขียว, นมข้นหวาน, น้ำร้อน, นมสด, น้ำแข็ง",,มีผงมัทชะ น้ำเปล่า นมสด และใจ อยากทำให้มันพิเศษกว่าปกติ จะทำเมนูอะไรดี,,
ชาเขียวเย็น Moka pot,"น้ำ, ใบชาเขียว, นมข้นหวาน, ครีมเทียม",,ทำชาเขียวเย็นจาก Moka pot ,,
ชีสเค้กสไตล์ญี่ปุ่น,"ครีมชีส, น้ำตาลทราย, น้ำมันรำข้าว, ไข่ไก่, ครีม, กลิ่นวานิลลา, กลิ่นเลมอน, แป้งสาลีอเนกประสงค์, น้ำตาลไอซิ่ง",,"ทำอะไรดีจากวัตถุดิบที่มี ครีมชีส, น้ำตาลทราย, น้ำมันรำข้าว, ไข่ไก่, ครีม, กลิ่นวานิลลา, น้ำ, ใบชาเขียว, นมข้นหวาน, ครีมเทียม",,
ชุดอาหารเช้า,"ซอสถั่วเหลืองจิ้ม, ไข่ไก่, เบคอน, ไส้กรอก, แฮม, ชาร้อน, น้ำสะอาด",,มี ไข่ เบคอน ขนมปัง ชา ทำอะไรกินดีสำหรับมื้อเช้า,,
ไชโป๊วผัดไข่,"หัวไชโป๊ว, ไข่, กระเทียมสับ, น้ำตาลทราย, ซีอิ๊วขาว, น้ำมัน",,มีไชโป๊ว กับ ไข่ กระเทียม กุ้ง มะละกอ ไก่ ทำเมนูอะไรดี กินง่าย อร่อย ,,
ซี่โครงหมูอบ,"ซี่โครงหมู,  รากผักชี,  กระเทียม,  พริกไทย,  หอมแดง,  คนอร์,  ซอสปรุงรสฝาเขียว,  ซีอิ๊วขาว,  น้ำมันหอย,  น้ำตาลปี๊ป",,มีซี่โคร่งหมูได้มาจากไแตลาดมาเมื่อวาน ทำอะไรกินดี ,,
ซุปไก่อย่างง่าย,"น่องไก่, มันฝรั่ง, แครอท, หอมใหญ่, มะขือเทศสีดา, เกลือสมุทร, น้ำซุป, ซอสปรุงรส",,มี น่องไก่ มัน แครอท หอมหัวใหญ่ เกลือ มะเขือเทศ อยากจะทำเมนูให้คนป่วยกิน ทำอะไรกินดี,,
ซุปเห็ด,"น้ำสต๊อก, เห็ดแชมปิยอง, หอมใหญ่, น้ำตาลทราย, เกลือ, พริกไทย, เนยจืด, แป้งสาลี, นมสด, ใบพาร์สลีย์",,มีเห็ด แป้ง นมสด หอมใหญ่ แป้ง ไก่ หมู ทำเมนูอะไรดี,,
แซนด์วิชเนื้อย่างอะโวคาโด,"เนื้อวัว, อะโวคาโด, ขนมปัง, เกลือ, น้ำมันมะกอก, เลมอน, วัตถุดิบซอสยากินิคุ, โชยุ, มิริน, สาเก, น้ำตาลทรายแดง, น้ำผึ้ง, กระเทียม, ขิง, แอปเปิล, หอมใหญ่, น้ำส้มสายชู, งาขาว, น้ำมันงา, น้ำมัน, พริกไทย",,อยากกินแซนด์วิช อร่อยๆ เนื้อเยอะๆ ขนมปัง เกลือ น้ำผึ้ง น้ำส้มสายชู ขิง แอปเปิ้ล,,
แซนด์วิชสลัดไข่ต้มยางมะตูม,"ไข่ไก่, น้ำสลัดครีม, ขนมปัง, เนย, ผักคอส, แคร์รอต, อะโวคาโด, มะเขือเทศ, เบคอน, เกลือ, พริกไทย",,วันนี้รีบยามเช้า อยากกินอะไรไวๆ ในตู้เย็นตอนนี้มี ไข่ น้ำสลัด ผัก แครอท อะโวคาโด เบคอน เกลือ พริกไทย ทำอะไรกินได้บ้าง,,
แซนวิช​โบราณ​หมูหยองน้ำสลัด,"น้ำตาลทราย, นมข้นหวาน, น้ำส้มสายชู​, มายองเนส, ดอกเกลือ, ไข่แดง​, พริกไทย​, สีผสมอาหาร, ขนมปัง, โบโลน่า, หมูหยอง, น้ำมัน",,อยากกินอะไรที่นึกถึงอดีต นมข้น น้ำส้มสายชู ไข่ พริกไทย ผักคอส ขนมปัง หมูหยอง ,,
ดัลโกนามัทฉะลาเต้,"ผงชาเขียว, น้ำร้อน, น้ำตาล, วิปครีม, นมสด",,มีน้ำตาล ผงมัทชะ นม น้ำตาล อยากกินชาเขียว ไขมันน้อย,,
โดนัทจิ๋ว,"แป้งอเนกประสงค์, น้ำตาลทราย, เนยละลาย, เบคกิ้งโซดา, ผงฟู, ผงโกโก้, ไข่ไก่, นมสด, กลิ่นวนิลา, ท๊อปปิ้ง, ช๊อคโกแลต ,อัลมอนด์",,มีแป้ง น้ำตาล ไข่ไก่ เนย อัลมอนด์ อยากทำขนมหวาน,,
ต้มข่ากระดูกหมูอ่อนใบพาย,"กระดูกหมูอ่อน,  หอมหัวใหญ่,  เห็ด,  มะเขือเทศ,  ข่า,  ตะไคร้, ใบมะกรูด, พริกขี้หนู,  พริกแห้ง,  ผักชีฝรั่ง,  รากผักชี,  น้ำปลา,  มะนาว",,มีกระดูกอ่อน หอมหัวใหญ่ เห็ด พริก ตะไคร้ ข่า มะเจือเทศ แครรอท ไก่ ทำเมนูอะไรดี,,
ต้มข่าไก่,"สะโพกไก่, เห็ดฟาง, หัวกะทิ, หางกะทิ, ข่าอ่อนหั่น, ตะไคร้, ใบมะกรูด, น้ำปลา, พริกแดง, มะนาว",,มีไก่ เห็ด หมู กะทิ น้ำปลา มะนาว ทำอะไรกินดี อยากกินอะไรเผ็ดๆ เป้นแกง,,
ต้มจับฉ่ายน่องไก่,"น่องไก่, ผักโขม, กะหล่ำปลี, ขึ้นฉ่าย, หัวไชเท้า, แครอท, กวางตุ้ง, เห็ดหอม, รากผักชี, พริกไทย, กระเทียม, ซอสปรุงรส, ซีอิ๊วขาว, เกลือป่น, ซอสหอยนางรม, น้ำตาลปี๊บ, น้ำมัน, น้ำเปล่า",,มีน่องไก่ ผัก กะหล่ำ แครอท เห็ด ขึ้นฉ่าย ทำเมนูแกงๆ ที่กินกันได้ทั้งครอบครัว,,
ต้มจืดเต้าหู้อ่อน,"เต้าหู้ไข่,  หมูสับ,  คนอร์,  ผักกาดขาว,  ต้นหอม, ขึ้นฉ่าย, น้ำเปล่า,  ซีอิ๊วขาว,  พริกไทยเม็ด",,อยากทำอาหารที่เด้กๆกินได้ อร่อย มี หมูสับ เต้าหู้ แครรอท ผักกาด ,,
ต้มจืดแรดิชหมูสับ,"หมูสับ,  ลูกแรดิช,  แครอท,  ต้นหอม,  ผักชี,  รากผักชี,  ซีอิ๊วขาว,  เกลือ, เล็กน้อย, น้ำเปล่า,  กระเทียม",,ได้แรดดิชมาเยอะมาก เลยอยากทำเมนูอาหารที่ใช้แรดดิชให้หมด,,
ต้มแซ่บกระดูกหมู,"ซี่โครงหมู,  เห็ดฟาง,  ตะไคร้,  หอมแดง,  ข่า,  น้ำมะขามเปียก,  พริกขี้หนู,  พริกป่น,  พริกแห้ง,  ข้าวคั่ว,  เกลือ,  น้ำปลา,  ใบมะกรูด,  มะเขือเทศ,  ผักชีฝรั่ง,  น้ำเปล่า",,อยากกินอะไรแซ่บๆ มีเห็ด ตะไคร้ ซี่โคร่ง ข้าวคั่ว มะเขือเทศ กินแล้วนึกถึงอีสานบ้านเฮา,,
ต้มแซบไก่,"ไก่,  ตะไคร้,  ข่า,  ใบมะกรูด,  ต้นหอม,  ผักชีฝรั่ง,  มะนาว,  พริกขี้หนู,  ผงปรุงรส,  น้ำปลา  ",,อยากกินต้มแซ่บไก่ เหมาะกับคนแซ่บๆแบบเรา,,
ต้มแซ่บเนื้อ,"เนื้อวัว, ตะไคร้, หอมแดง, ข่า, รากผักชี, เกลือ, ต้นหอม, ผักชีฝรั่ง, น้ำมะขามเปียก, น้ำมะนาว, พริกขี้หนู, น้ำตาลทราย, น้ำปลา, น้ำเปล่า",,มีไก่่แล้วก้ต้องมีเนื้อ ตะไคร้ หอมแดง น้ำตาล มะน่าว มะกรูด มาทำอาหารอร่อยๆ ,,
ต้มแซบเอ็นข้อไก่,"เอ็นข้อไก่,  ตะไคร้,  ข่า,  ใบมะกรูด,  ต้นหอม,  ผักชีฝรั่ง,  พริกจินดา,  ผงปรุงรส,  น้ำปลา,  มะนาว",,อยากเอาเอ็นข้อไก่มาทำอาหาร อร่อยๆ แซ่บๆ ใส่พริก ใส่ต้นหอม,,
ต้มเนื้อเปื่อย,"เนื้อน่องวัว,  ตะไคร้,  ใบมะกรูดฉีก,  หอมแดง,  เห็ดออรินจิ,  พริกขี้หนู,  ตั้งโอ๋,  เกลือ,  ผงปรุงรส,  น้ำปลา,  น้ำมะขามเปียก",,อยากกินต้มเนื้อเปื่อย เพราะมีเนื้อน่องลายอยู่,,
ต้มผักกาดดองใส่กระดูกหมู,"กระดูกหมู,  ผัดกาดดอง,  กระเทียม,  เกลือ,  น้ำ",,อยากกินต้มๆ ใส่ผักกาดดอง อร่อยๆ,,
ต้มยำขาหมู,"ขาหมูเผา, ข่า, ตะไคร้, ใบมะกรูด, พริกขี้หนู, มะนาว, คนอร์, น้ำปลา, เกลือ, น้ำสะอาด, ผักชี",,มีขาหมู ข่า ตะไคร้ ใบมะกรูด มะนาว เกลือ ผักบุ้ง มะเขือเทศ  ทำเมนูที่แบบแซ่บๆ ,,
ต้มยำซี่โครงหมู สูตรใส่คนอร์,"ซี่โครงหมู,  หอมแดง,  ข่า, ตะไคร้, ใบมะกรูด,  เกลือ,  น้ำปลา,  คนอร์,  เห็ดฟาง,  น้ำมะนาว,  พริกขี้หนู,  พริกป่น,  ต้นหอม ผักชี,  ผักชีฝรั่ง",,อยากินต้มๆ มีข่า ตะไคร้ ใบมะกรูด และใส่ซี่โครงหมูเยอะๆ,,
ต้มยำทะเลน้ำใส,"กุ้ง,  ปลาหมึก,  ตะไคร้,  หอมแดง,  ข่าอ่อน,  พริกขี้หนู,  น้ำมะขามเปียก,  มะนาว,  น้ำปลา,  ผักชีฝรั่ง,  ต้นหอม,  ใบมะกรูด,  น้ำเปล่า,  คนอร์,  มะเขือเทศ",,ในตู้เย็นมี กุ้ง ปลาหมึก หอมแดง ตะไคร้ ข่า พริก มะนาว ทำอะไรกินได้บ้าง ,,
ต้มยำน้ำใสหมูสับ,"หมูสับ,  เห็ด, ข่า,  ตะไคร้,  ใบมะกรูด,  พริกสด,  น้ำมะนาว, ตามชอบ, เกลือ,  คนอร์,  น้ำปลา, น้ำสะอาด  น้ำตาล,  ผักชี",,อยากกินอะไรเผ็ดๆ ใช้หมูสับ เห็ด ข่า ตะไคร้ ใบมะกรูด ,,
ต้มยําปลากระป๋อง,"น้ำเปล่า, ข่า, ตะไคร้, ใบมะกรูด, หอมแดง, เห็ดนางฟ้า, ปลากระป๋อง, น้ำปลา, น้ำตาลทราย, พริกขี้หนู, น้ำมะนาว, ใบสะระแหน่",,อยากกินต้มยำปลากระป๋อง ใส่ข่าหั่นแว่น ใส่หอมแดงเยอะๆ,,
ต้มยำปลากะพงน้ำใส,"ปลา, ตะไคร้, ข่าหั่นแว่น, ใบมะกรูด, หอมแดง, น้ำปลา, น้ำมะนาว, พริกขี้หนู, ใบกะเพรา, น้ำเปล่า, ซุปก้อน",,มีปลากะพง ตะไคร้ หอม มบมะกรุด ข่า อยากเอามาทำอาหาร แซ่บๆ คาร์บน้อย ,,
ต้มยำปลาช่อน,"ปลา,  ตะไคร้,  ข่า,  ใบมะกรูด,  พริกขี้หนูสวน,  พริกแห้ง,  มะนาว,  เกลือ,  ใบกระเพรา,  น้ำตาลทราย",,ได้ปลาช่อนมาใหม่ อยากทำอาหารที่อร่อยๆ เผ็ดๆ,,
ต้มยำรวมมิตรน้ำใสใบกะเพรา,"น้ำเปล่า,  ตะไคร้,  ข่า,  ใบมะกรูด,  ไก่,  กุ้ง,  ปลาหมึก,  ผงปรุงรส,  เกลือ,  น้ำปลา,  มะนาว, พริกขี้หนู, ใบกะเพรา, น้ำมันพริกเผา,  เห็ดออรินจิ,  หอมแดง",,มีกุ้ง ปลาหมึก เห็ด เอา ขิง ข่า ตะไคร้ ใบมะกรุด ไก่ มะนาว เอามาทำอาหารแส่บๆ,,
ต้มยำหมูเด้งน้ำข้น,"หมู,  ตะไคร้,  ข่า,  หอมแดง,  กระเทียม,  พริก, นมข้น,  ใบมะกรูด,  มะนาว,  มะเขือเทศ, เห็ดออรินจิ, น้ำปลา, น้ำตาล, น้ำพริกเผา,  น้ำมันพริกเผา,  ผักชีฝรั่ง, น้ำ",,"อยากกินอาหารที่ทำมาจาก หมู,  ตะไคร้,  ข่า,  หอมแดง,  กระเทียม,  พริก, นมข้น,  ใบมะกรูด,  มะนาว ",,
ต้มเล้งแซ่บ,"กระดูกหมู, น้ำสะอาด, เกลือ, กระเทียม, รากผักชี, พริกไทย, พริกขี้หนู, น้ำมะนาว, น้ำปลา, ผักชีฝรั่ง",,มีกระดูกเล้ง  พริก มะนาว อยากกินอะไรเผ็ดๆ,,
ต้มเลือดหมู,"เลือดหมู, หมูสับ, เนื้อหมู, ตับหมู, เต้าหู้, ตำลึง, ตั้งฉ่าย, ซุปก้อน, คึ่นฉ่าย, น้ำเปล่า, น้ำปลา, ซอสปรุงรส",,ได้เลือดหมูมาเยอะมาก อยากเอามาทำเมนูต้มๆ ใส่ตำลึง ตับหมู เนื้อหมู,,
ต้มหน่อไม้หวานซี่โครงหมู,"หน่อไม้,  ซี่โครงหมู,  กุ้งแห้ง,  รากผักชี,  กระเทียม,  พริกไทยเม็ด, คนอร์",,อยากกินหน่อไม้หวานๆ เอามาทำเมนูอาหารอร่อยๆ,,
ตับหมูผัดใบโหรพา,"ตับหมู,  พริกชี้ฟ้า,  หอมใหญ่,  โหระพา,  กระเทียม,  พริกกะเหรี่ยง,  น้ำมันหอย,  ซอสปรุงรส,  น้ำตาลทราย,  พริกไทย,  น้ำปลา,  น้ำมัน",,ได้ตับหมูมาเยอะมาก อยากทำอาหารที่ยกระดับเมนูนี้ เช่นใส่พริก หอมใหญ่ ซอสน้ำมันหอย เพื่อทำให้อร่อยขึ้น,,
ตีนไก่ใต้น้ำ,"ตีนไก่, น้ำปลาร้า, น้ำปลา, ผงปรุงรส, หอมแดง, กระเทียม, ข่า, ตะไคร้, ใบมะกรูด, ผักชี, ต้นหอม, น้ำ, พริกจินดา",,อยากกินตีนไก่ แต่เบื่อต้มเล่งตีนไก่ แล้วอยากทำเมนูอื่นแทน ที่ใช้น้ำปลาร้า กระเทียม หอมแดง ตะไคร้ ,,
