ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories
เค้กมะพร้าวอ่อนสูตรนึ่งทำง่ายไม่ใช้เตาอบ,"{'แป้งสาลีเอนกประสงค์': '1 ถ้วยตวง', 'เนื้อมะพร้าวอ่อน': '100 กรัม', 'น้ำมะพร้าว': '25 มิลลิลิตร', 'กะทิ': '1/8 ถ้วยตวง', 'เกลือป่น': '1/4 ช้อนชา', 'ผงฟู': '1 ช้อนชา', 'เบคกิ้งโซดา': '1/2 ช้อนชา', 'น้ำตาลทราย': '1 ถ้วยตวง', 'น้ำมะนาว': '1 ช้อนชา'}",27.18,196.81,95.47,2261.89
เคบับไก่,"{'น่องติดสะโพก': '3 ชิ้น', 'ผงยี่หร่า': '1/2 ช้อนโต๊ะ', 'ผงลูกผักชี': '1/2 ช้อนโต๊ะ', 'ผงมาซาล่า': '1/2 ช้อนโต๊ะ', 'ผงกะหรี่': '1/2 ช้อนโต๊ะ', 'ผงปาปริก้า': '1/2 ช้อนโต๊ะ', 'พริกไทยดำตำ': '1/2 ช้อนโต๊ะ', 'กระเทียม': '1 หัว', 'หอมหัวใหญ่': '1 หัว'}",57.85,88.35,263.77,2081.63
เครมบรูเล่,"{'วิปปิ้งครีม': '1 ½ ถ้วยตวง', 'ไข่แดง': '4 ฟอง', 'น้ำตาลทราย': '¼ ถ้วยตวง', 'กลิ่นวานิลลา': '1 ช้อนชา'}",42.91,10.15,95.47,644.87
จิ้นตุ๊บ,"{'เนื้อวัว': '500 กรัม', 'น้ำเปล่า': '½ ถ้วยตวง', 'เกลือ': '2 ช้อนชา', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '2 ช้อนชา', 'ผงชูรส': '1 ช้อนชา', 'รากผักชี': '2 ราก', 'กระเทียม': '4 - 5 กลีบ', 'พริกไทยดำป่น': '1 ช้อนชา', 'ตะไคร้หั่นท่อน': '2 ต้น', 'ข่าแก่หั่นแว่น': '15 กรัม'}",45.98,109.23,145.96,1750.83
เจี๋ยนปลาทับทิม สูตร 2 น้ำมะขามเปียก,"{'ปลาทับทิม': '1 ตัว', 'เกลือ': '1/2 ช้อนโต๊ะ', 'น้ำมัน': '1 ถ้วย', 'กระเทียม': '5 กลีบ', 'ขิงอ่อนซอย': '3 ช้อนโต๊ะ', 'เต้าเจี้ยว': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1 ช้อนโต๊ะ', 'น้ำมะขามเปียก': '4 ช้อนโต๊ะ', 'ต้นหอม': '4 ต้น', 'พริกจินดา': '6 เม็ด', 'น้ำเปล่า': '1/2 ถ้วย'}",30.33,208.2,121.94,2482.88
แจ่วหมูโบราณ,"{'หมูสับ': '1 kg', 'พริกแห้ง': '200 g', 'ข่าหั่นแว่น': '200 g', 'ตะไคร้ซอย': '100 g', 'หอมแดง': '200 g', 'กระเทียม': '100 g', 'น้ำปลา': '4 ช้อนโต๊ะ', 'น้ำตาล': '1 ช้อนโต๊ะ', 'ผงปรุงรส': '1 ช้อนโต๊ะ', 'เกลือ': '1 ช้อนชา', 'กะปิ': '1 ช้อนชา'}",60.24,156.1,97.1,2034.26
โจ๊กข้าวโอ๊ต,"{'ข้าวโอ๊ต': '20 กรัม', 'น้ำเปล่า': '2 ถ้วย', 'ไข่ขาวพาสเจอร์ไรซ์': '100 มล', 'บร็อคโคลี': 'ตามชอบ', 'กุ้งสับ': 'ตามชอบ', 'เกลือป่น': 'เล็กน้อย', 'สาหร่ายแห้ง': 'ตามชอบ'}",97.96,126.54,0,1530.7
โจ๊กต้มยำทะเล,"{'ข้าวสวยหุงสุก': '2 ถ้วยตวง', 'น้ำสะอาด (สำหรับปั่นข้าว)': '1 ถ้วยตวง', 'กุ้งขาวแกะเปลือกผ่าหลัง': '5 ตัว', 'หมึกกล้วย': '1 ตัว', 'พริกเผา': '2 ถ้วยตวง', 'ข่าหั่นแว่น': '15 กรัม', 'ตะไคร้หั่นท่อน': '20 กรัม', 'ใบมะกรูด': '5 ใบ', 'พริกจินดาแดงหั่น': '5 เม็ด', 'น้ำสะอาด': '2 ถ้วยตวง', 'น้ำปลา': '1 ถ้วยตวง', 'น้ำมะนาว': '5 ลูก', 'เปลือกกุ้ง': 'ตามจำนวนกุ้ง', 'ผักชี': 'สำหรับตกแต่ง'}",75.24,405.11,37.19,4095.71
ชาเขียวนมทูโทน,"{'น้ำชาไทยสกัด': '2 ช้อนโต๊ะ', 'น้ำชาเขียวสกัด': '2 ช้อนโต๊ะ', 'โกโก้เหนียว': '3-5 ช้อนโต๊ะ', 'นมสด': '3-5 ช้อนโต้ะ', 'น้ำแข็งบด': '1 แก้ว', 'นมจืด': '50 มิลลิลิตร', 'นมข้นหวาน': '50 มิลลิลิตร'}",43.74,20.12,105.63,778.56
ชาเขียวนมสด,"{'ผงชาเขียว': '2 ช้อนโต๊ะ', 'น้ำร้อนจัด': '200 มิลลิลิตร', 'นมข้นหวาน': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'นมสดรสจืด': '50 มิลลิลิตร', 'น้ำแข็ง': 'เต็มแก้ว'}",47.59,199.47,95.47,2367.47
ชาเขียวปั่น,"{'ชาเขียวญี่ปุ่นชนิดผง': '2 ช้อนโต๊ะ', 'นมสด': '1 ถ้วยตวง', 'น้ำตาลทรายแดงชนิดผง': '3 ช้อนโต๊ะ', 'กลิ่นวานิลลา': '1-2 หยด', 'น้ำแข็ง': '2 ถ้วยตวง'}",41.06,97.97,95.47,1427.85
ชาเขียวมัทฉะลาเต้,"{'ผงชาเขียวมัทฉะญี่ปุ่น 100%': '1 ช้อนโต๊ะ', 'น้ำเปล่า': '15-20 มิลลิลิตร', 'นมสด (1)': '140 มิลลิลิตร', 'น้ำตาลทราย': '2 ช้อนชา', 'นมข้นหวาน': '15 มิลลิลิตร', 'น้ำแข็ง': '', 'นมสด (2)': '25 มิลลิลิตร'}",43.44,190.84,95.47,2273.2
ชาเขียวมัทฉะลาเต้ลาวา,"{'ผงชาเขียวมัทฉะ': '1 ช้อนโต๊ะ', 'นมข้นหวาน': '2 ช้อนชา', 'น้ำร้อน': '1 ช้อนโต๊ะ', 'นมสด': '50 มิลลิลิตร', 'น้ำแข็ง': ''}",60.68,116.41,0,1290.41
ชาเขียวเย็น Moka pot,"{'น้ำสะอาด': 'ไม่ระบุ', 'ใบชาเขียวเต็มถ้วย': 'ไม่ระบุ', 'นมข้นหวานตามชอบ': 'ตามชอบ', 'ครีมเทียมตามชอบ': 'ตามชอบ'}",15.56,66.43,0,660.11
ชีสเค้กสไตล์ญี่ปุ่น,"{'ครีมชีส': '250 กรัม', 'น้ำตาลทราย': '30+55 กรัม', 'ชอร์ตเทนนิ่งน้ำมันรำข้าว': '30 กรัม', 'ไข่ไก่': '3 ฟอง', 'ครีม': '150 กรัม', 'กลิ่นวานิลลา': '1/2 ช้อนชา', 'กลิ่นเลมอน': '1/2 ช้อนชา', 'แป้งสาลีอเนกประสงค์': '32 กรัม', 'น้ำตาลไอซิ่ง': 'สำหรับเสิร์ฟ'}",56.92,294.76,190.94,3644.28
ชุดอาหารเช้า,"{'ซอสถั่วเหลืองจิ้มและเหยาะ': '', 'ไข่ไก่': '', 'เบคอน': '', 'ไส้กรอก': '', 'แฮม': '', 'ชาร้อน': '', 'น้ำสะอาด': 'สำหรับต้มไข่ลวก'}",73.09,87.21,62.1,1325.65
ไชโป๊วผัดไข่,"{'หัวไชโป๊ว (รสหวาน)': '200 กรัม', 'ไข่': '2 ฟอง', 'กระเทียมสับ': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': 'เล็กน้อย', 'ซีอิ๊วขาว': '', 'น้ำมันสำหรับผัด': ''}",8.96,0.46,113.66,494.62
ซี่โครงหมูอบ,"{'ซี่โครงหมู': '500 กรัม', 'รากผักชี': '2 หัว', 'กระเทียม': '5 กลีบ', 'พริกไทย': '1/2 ช้อนชา', 'หอมแดง': '2 หัว', 'ผงคนอร์รสหมู': '1 ช้อนชา', 'ซอสปรุงรสฝาเขียว': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'น้ำตาลปี๊ป': '1 ช้อนโต๊ะ'}",34.19,117.54,117.59,1664.98
ซุปไก่อย่างง่าย,"{'น่องไก่บน': '6 ชิ้น', 'มันฝรั่ง': '2-3 ผล', 'แครอท': '1 หัว', 'หอมใหญ่': '1-2 หัว', 'มะขือเทศสีดา/ท้อ': '2-4 / 2 ผล', 'เกลือสมุทร': '1-2 ช้อนโต๊ะ', 'น้ำซุปหรือน้ำเปล่า': '1-1.5 ลิตร', 'ซอสปรุงรส/ซีอิ้วขาว': '1-2 ช้อนโต๊ะ'}",30.16,130.93,0,1299.01
ซุปเห็ด,"{'น้ำสต๊อก': 'มิลลิลิตร', 'เห็ดแชมปิยอง': 'ตามชอบ', 'หอมใหญ่สับละเอียด': '50 กรัม', 'น้ำตาลทราย': '¼ ช้อนชา', 'เกลือ': '½ ช้อนชา', 'พริกไทย': '¼ ช้อนชา', 'เนยจืด': '1 ½ ช้อนโต๊ะ', 'แป้งสาลี': '1 ½ ช้อนโต๊ะ', 'นมสดรสจืด': '170 มิลลิลิตร', 'ใบพาร์สลีย์สด': '2-3 ใบ'}",67.51,198.08,120.08,2533.08
แซนด์วิชเนื้อย่างอะโวคาโด,"{'ซูพรีมบีฟ': '1 แพ็ค', 'เนื้อวัวเสือร้องไห้สไลซ์': '1 แพ็ค', 'อะโวคาโด': '1 ผล', 'ขนมปังซาวร์โดว์': '2 แผ่น', 'เกลือ': 'เล็กน้อย', 'น้ำมันมะกอก': '', 'เลมอน': '½ ลูก', 'ซอสยากินิคุ': '', 'โชยุ': '40 มิลลิลิตร', 'มิริน': '20 มิลลิลิตร', 'สาเก': '20 มิลลิลิตร', 'น้ำตาลทรายแดง': '1 ช้อนโต๊ะ', 'น้ำผึ้ง': '½ ช้อนโต๊ะ', 'กระเทียมโขลกละเอียด': '½ ช้อนชา', 'ขิงโขลกละเอียด': '½ ช้อนชา', 'แอปเปิลโขลกละเอียด': '1 ช้อนโต๊ะ', 'หอมใหญ่โขลกละเอียด': '1 ช้อนโต๊ะ', 'น้ำส้มสายชู': '½ ช้อนชา', 'งาขาวคั่วบดหยาบ': '½ ช้อนโต๊ะ', 'น้ำมันงา': '½ ช้อนโต๊ะ', 'น้ำมันน้ำพริกเผา': '½ ช้อนชา', 'พริกไทย': '½ ช้อนชา'}",143.57,485.4,298.47,6136.76
แซนด์วิชสลัดไข่ต้มยางมะตูม,"{'ไข่ไก่': '2 ฟอง', 'น้ำสลัดครีม': '2 ช้อนโต๊ะ', 'ขนมปัง': '4 แผ่น', 'เนย': '1 ช้อนโต๊ะ', 'ผักคอส': '1 ต้น', 'แคร์รอต': '1 หัว', 'อะโวคาโด': '2 ลูก', 'มะเขือเทศท้อ': '2 ลูก', 'เบคอน': '200 กรัม', 'เกลือ': '1 ช้อนชา', 'พริกไทย': '1 ช้อนชา', 'กระดาษไข': 'สำหรับห่อ'}",68.19,202.26,174.09,2789.46
แซนวิช​โบราณ​หมูหยองน้ำสลัด,"{'น้ำตาลทราย': '110กรัม', 'นมข้นหวาน': '90กรัม', 'น้ำส้มสายชู': '2ช้อนโต๊ะ\u200b', 'มายองเนส': '115กรัม', 'ดอกเกลือ': '1/2ช้อนชา', 'ไข่แดงเบอร์\u200bใหญ่': '2ฟอง', 'พริกไทยดำ\u200bป่น': '1/2ช้อนชา', 'สีผสมอาหาร\u200bสีเหลืองมะนาว': 'นิดหน่อย', 'ขนมปังแซนวิช': '30แผ่น', 'โบโลน่า': '20แผ่น', 'หมูหยอง': '120กรัม', 'น้ำมันมะกอก': '170กรัม'}",50.14,240.11,136.77,2908.63
ดัลโกนามัทฉะลาเต้,"{'ผงชาเขียว': '1 ช้อนโต๊ะ', 'น้ำร้อน': '1 ½ ช้อนโต๊ะ', 'น้ำตาล': '2 ช้อนโต๊ะ', 'วิปครีม': 'ตามชอบ', 'นมสด': '250 มิลลิลิตร'}",52.96,62.8,0,777.04
โดนัทจิ๋ว,"{'แป้งอเนกประสงค์/แป้งเค้ก': '120 กรัม', 'น้ำตาลทราย': '120 กรัม', 'เนยละลาย': '90 กรัม', 'เบคกิ้งโซดา': '1/4 ช้อนชา', 'ผงฟู': '1/4 ช้อนชา', 'ผงโกโก้': '40 กรัม', 'ไข่ไก่': '2 ฟอง', 'นมสด': '100 ml.', 'กลิ่นวนิลา': '1 ช้อนชา'}",64.27,232.34,122.94,2839.9
ต้มข่ากระดูกหมูอ่อนใบพาย,"{'กระดูกหมูอ่อนส่วนใบพาย': '3ขีด', 'หอมหัวใหญ่': '1/2 หัว', 'เห็ดชิเมจิ': '150 กรัม', 'มะเขือเทศ': '2 ลูก', 'ข่า': '7-8 แว่น', 'ตะไคร้หั่นแฉลบ และใบมะกรูด': 'ตามชอบ', 'พริกขี้หนู': '10 เม็ด', 'พริกแห้งทอด': '4-5 เม็ด', 'ผักชีฝรั่ง': '3 ต้น', 'รากผักชี': '3 ราก', 'น้ำปลา': '5 ช้อนโต๊ะ', 'มะนาว': '3 ลูก'}",43.99,208.39,115.19,2512.23
ต้มข่าไก่,"{'สะโพกไก่': '400 กรัม', 'เห็ดฟาง': '200 กรัม', 'หัวกะทิ': '300 มิลลิลิตร', 'หางกะทิ': '500 มิลลิลิตร', 'ข่าอ่อนหั่นแว่นบาง ๆ': '5-6 แว่น', 'ตะไคร้หั่นแฉลบ': '3 ต้น', 'ใบมะกรูด': '5-6 ใบ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'พริกแดง-เขียว': '10 กรัม', 'มะนาว': '1 ลูก'}",58.53,170.03,59.81,2003.63
ต้มไข่ใช้ไมโครเวฟ,"{'ไข่เป็ด': '1 ฟอง', 'น้ำเปล่า': '1 ชาม', 'เกลือป่น': '1 ช้อนชา'}",15.3,109.78,0,1049.22
ต้มจับฉ่ายน่องไก่,"{'น่องไก่': '1 กิโลกรัม', 'ผักโขม': '300 กรัม', 'กะหล่ำปลี': '300 กรัม', 'ขึ้นฉ่าย': '200 กรัม', 'หัวไชเท้า': '200 กรัม', 'แครอท': '200 กรัม', 'กวางตุ้ง': '200 กรัม', 'เห็ดหอม': '100 กรัม', 'รากผักชี': '10 ราก', 'พริกไทย': '30 กรัม', 'กระเทียม': '30 กรัม', 'ซอสปรุงรส': '60 กรัม', 'ซีอิ๊วขาว': '150 กรัม', 'เกลือป่น': '1 ช้อนโต๊ะ', 'ซอสหอยนางรม': '3 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '2 ช้อนโต๊ะ', 'น้ำมันพืช': '1 ช้อนโต๊ะ', 'น้ำเปล่า': '1 ถ้วยตวง'}",28.76,228.93,125.38,2676.93
ต้มจืดเต้าหู้อ่อน,"{'เต้าหู้ไข่': 2, 'หมูสับ': 200, 'คนอร์ก้อนต้มจืด รสหมู': 2, 'ผักกาดขาว': 1, 'ต้นหอม': 1, 'ขึ้นฉ่าย': 1, 'น้ำเปล่า': 3, 'ซีอิ๊วขาว': 3, 'พริกไทยเม็ด': 20}",51.73,130.81,79.22,1701.09
ต้มจืดแรดิชหมูสับ,"{'หมูสับ': '150 กรัม', 'ลูกแรดิช': '140 กรัม', 'แครอท': '150 กรัม', 'ต้นหอมหั่นท่อน': '2 ต้น', 'ผักชีหั่น': '1 ต้น', 'รากผักชี': '1 ราก', '3เกลอ (รากผักชี พริกไทย กระเทียม โขลก)': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'เกลือป่น': 'เล็กน้อย', 'น้ำเปล่า': '3 ถ้วย', 'กระเทียมเจียว (ไม่ใส่ก็ได้)': ''}",63.4,145.85,74.94,1866.01
ต้มแซ่บกระดูกหมู,"{'กระดูกหมู': '600 กรัม', 'น้ำสะอาด': '1.5 ลิตร', 'ตะไคร้': '4 ต้น', 'ใบมะกรูด': '5 ใบ', 'ข่า': '2 แง่ง', 'พริกจินดาแดง': '6-10 เม็ด', 'เกลือ': '1 ช้อนโต๊ะ', 'น้ำตาล': '1 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'น้ำมะนาว': '2-3 ช้อนโต๊ะ', 'ผักชีฝรั่ง': '3 ต้น', 'เห็ดฟาง': 'ตามชอบ', 'หอมแดง': '5 หัว', 'พริกป่น': '1 ช้อนโต๊ะ', 'ข้าวคั่ว': '1 ช้อนโต๊ะ'}",74.13,295.01,81.89,3279.17
ต้มแซบไก่,"{'ไก่': '1/2 ตัว', 'ตะไคร้': '10 ต้น', 'ข่า': '2 แง่ง', 'ใบมะกรูด': '3 กิ่ง', 'ต้นหอม': '5 ต้น', 'ผักชี': '5 ต้น', 'ผักชีฝรั่ง': '5 ต้น', 'มะนาว': '4 ลูก', 'พริกขี้หนู': '15 เม็ด', 'ผงปรุงรส': '2 ก้อน', 'น้ำปลา': '2 ช้อนโต๊ะ', 'พริกป่น': '1 ช้อนโต๊ะ'}",50.83,130.37,80.91,1700.29
ต้มแซ่บเนื้อ,"{'เนื้อวัว': '180 กรัม', 'ตะไคร้': '3 ต้น', 'หอมแดง': '5 หัว', 'ข่า': '5 ชิ้น', 'รากผักชี': '2 ราก', 'เกลือป่น': '1/2 ช้อนชา', 'ต้นหอม': '1 ต้น', 'ผักชีฝรั่ง': '2 ต้น', 'น้ำมะขามเปียก': '3 ช้อนโต๊ะ', 'น้ำมะนาว': '1/2 ลูก', 'พริกขี้หนู': '7-8 เม็ด', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำปลา': '2 ช้อนโต๊ะ', 'น้ำเปล่า': ''}",52.66,318.38,131.04,3600.22
ต้มแซบเอ็นข้อไก่,"{'เอ็นข้อไก่': '1 กก', 'ตะไคร้': '8 ต้น', 'ข่า': '2 แง่ง', 'ใบมะกรูด': '20 ใบ', 'ต้นหอม': '10 ต้น', 'ผักชี': '10 ต้น', 'ผักชีฝรั่ง': '10 ต้น', 'พริกจินดา': '20 เม็ด', 'ผงปรุงรส': '3 ก้อน', 'น้ำปลา': '4 ช้อนโต๊ะ', 'มะนาว': '7 ใบ'}",27.43,118.7,67.6,1448.42
ต้มเนื้อเปื่อย,"{'เนื้อน่องวัว': '1 กก.', 'ตะไคร้บุ': '3 ต้น', 'ใบมะกรูดฉีก': '5 ใบ', 'หอมแดงบุ': '4 หัว', 'เห็ดออรินจิ': '5 อัน', 'พริกขี้หนู': '6-7 เม็ด', 'ตั้งโอ๋': '2 ต้น', 'เกลือ': '1 ช้อนชา', 'ผงปรุงรส': '1/2 ช้อนชา', 'น้ำปลา': '2 ช้อนโต๊ะ', 'น้ำมะขามเปียก': '3 ช้อนโต๊ะ'}",66.54,133.87,48.49,1664.95
ต้มผักกาดดองใส่กระดูกหมู,"{'กระดูกหมู': '1-1.5 kg', 'ผัดกาดดองเค็ม': '2 กระป๋อง', 'กระเทียม': '5 กลีบ', 'เกลือ': '1 ช้อนชา', 'น้ำ': '1-2 ลิตร'}",25.1,22.45,45.9,486.05
ต้มยำขาหมู,"{'ขาหมูเผา': '1.5 กิโลกรัม', 'ข่า': '10-15 แว่น', 'ตะไคร้': '2 ต้น', 'ใบมะกรูด': '5 ใบ', 'พริกขี้หนูแห้งทอด': '5-10 เม็ด', 'มะนาว': '4-5 ลูก', 'ผงปรุงรสคนอร์': '2 ช้อนโต๊ะ', 'น้ำปลา': '2 ช้อนโต๊ะ', 'เกลือ': '2 ช้อนโต๊ะ', 'น้ำสะอาด': '6 ถ้วย', 'ผักชี': '', 'ผักชีใบเลื่อย': ''}",50.93,144.29,133,2034.33
ต้มยำซี่โครงหมู สูตรใส่คนอร์,"{'ซี่โครงหมู': '1/2 กิโลกรัม', 'หอมแดงแกะเปลือก': '1 ถ้วย', 'ข่า ตะไคร้ ใบมะกรูด': '1 ชุด', 'เกลือ': '1/2 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'คนอร์ ซุปรสหมู': '1 ก้อน', 'เห็ดฟางผ่าครึ่ง': '1 ถ้วย', 'น้ำมะนาว': '1 ถ้วย', 'พริกขี้หนูสดทุบ': '1 ช้อนโต๊ะ', 'พริกป่น': '1/2 ช้อนโต๊ะ', 'ต้นหอม ผักชี (โรยหน้า)': '1 หยิบมือ', 'ผักชีฝรั่ง (โรยหน้า)': '1 หยิบมือ'}",75.23,279.83,103.05,3231.59
ต้มยำทะเลน้ำใส,"{'กุ้งสด': '300 กรัม', 'ปลาหมึกสด': '200 กรัม', 'ตะไคร้': '2 ต้น', 'หอมแดง': '10 หัว', 'ข่าอ่อน': '4-5 แว่น', 'พริกขี้หนู': '5-7 เม็ด', 'น้ำมะขามเปียก': '2-3 ช้อนโต๊ะ', 'มะนาว': '1 ลูก', 'น้ำปลา': '3-4 ช้อนโต๊ะ', 'ผักชีฝรั่ง': '1 ต้น', 'ต้นหอมผักชีซอย': '1 ช้อนโต๊ะ', 'ใบมะกรูด': '4-5 ใบ', 'น้ำเปล่า': '3 ถ้วย', 'คนอร์ซุปก้อน': '1/2 ก้อน', 'มะเขือเทศ': '3 ลูก'}",72.05,226.09,59.81,2562.25
ต้มยำน้ำใสหมูสับ,"{'หมูสับ': '200-300 กรัม', 'เห็ด': 'ตามชอบ', 'ข่า': '3 เหง้า', 'ตะไคร้': '3 ต้น', 'ใบมะกรูด': '6-8 ใบ', 'พริกสด': '2-3 เม็ด หรือตามความชอบ', 'น้ำมะนาว': 'ตามชอบ', 'เกลือ': '1 ช้อนชา', 'ผงปรุงรสหมู': '1 ช้อนชา', 'น้ำปลา': 'ตามชอบ', 'น้ำสะอาด': '1 ลิตร', 'น้ำมันหอม': '1/2 ช้อนโต๊ะ', 'น้ำตาล': '1 ช้อนชา', 'ผักชี': 'ตกแต่งเว้นวรรคให้ด้วย'}",56.28,365.96,56.28,3743.88
ต้มยําปลากระป๋อง,"{'น้ำเปล่า': '400 มิลลิลิตร', 'ข่าหั่นแว่น': '3 ชิ้น', 'ตะไคร้หั่นท่อนทุบพอแตก': '1 ต้น', 'ใบมะกรูด': '3 ใบ', 'หอมแดง': '1 หัว', 'เห็ดนางฟ้า': '30 กรัม', 'ปลากระป๋อง': '1 กระป๋อง', 'น้ำปลา': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'พริกขี้หนูสับ': '5 เม็ด', 'น้ำมะนาว': '2 ช้อนโต๊ะ', 'ใบสะระแหน่ / พริกขี้หนู': 'สำหรับตกแต่ง'}",59.56,369.08,132.66,4090.6
ต้มยำปลากะพงน้ำใส,"{'เนื้อปลากะพง': '300 กรัม', 'ตะไคร้': '3 ต้น', 'ข่า': '3 แว่น', 'ใบมะกรูด': '3 ใบ', 'หอมแดง': '5 หัว', 'น้ำปลา': '1 ช้อนโต๊ะ', 'น้ำมะนาว': '1 ช้อนโต๊ะ', 'พริกขี้หนูสวน': '7 เม็ด', 'ใบกะเพรา': '½ ถ้วย', 'น้ำเปล่า': '3 ถ้วยตวง', 'ซุปก้อน': '1 ก้อน'}",41.36,323.69,44.98,3258.57
ต้มยำปลาช่อน,"{'ปลาช่อน': '2 กก.', 'ตะไคร้': '2 ต้น', 'ข่าหั่นเป็นแว่น': '5 แว่น', 'ใบมะกรูด': '10 ใบ', 'พริกขี้หนูสวน': '10 เม็ด', 'พริกแห้ง': '10 เม็ด', 'มะนาว': '1 ช้อนโต๊ะ', 'เกลือ': '2 ช้อนชา', 'ใบกระเพรา': '1 กำมือ', 'น้ำตาลทราย': '1/2 ช้อนชา'}",67.93,40.37,220.3,1516.25
ต้มยำรวมมิตรน้ำใสใบกะเพรา,"{'น้ำเปล่า': '800 มล.', 'ตะไคร้': '3 ต้น', 'ข่า': '5-6 แว่น', 'ใบมะกรูด': '5 ใบ', 'ไก่สับปั้นก้อน': '200 กรัม', 'กุ้ง': '10 ตัว', 'ปลาหมึก': '5 ตัว', 'ผงปรุงรส': '2 ช้อนชา', 'เกลือป่น': '1 ช้อนชา', 'น้ำปลา': '3 ช้อนโต๊ะ', 'มะนาว': 'ตามชอบ', 'พริกขี้หนูบุ': 'ตามชอบ', 'ใบกะเพรา': 'ตามชอบ', 'น้ำมันพริกเผา': '2 ช้อนโต๊ะ', 'เห็ดออรินจิ': '6 หัว', 'หอมแดง': '4 หัว'}",71.97,250.61,56.8,2770.57
ต้มยำหมูเด้งน้ำข้น,"{'หมูเด้ง': '250 กรัม', 'ตะไคร้บุบ': '2 ต้น', 'ข่า': '1/2 หัว', 'หอมแดง': '4 หัว', 'กระเทียม': '4 กลีบ', 'พริกบุบ': 'ตามชอบ', 'นมข้นจืด': '100 มล.', 'ใบมะกรูด': '5-6 ใบ', 'มะนาว': '4-5 ลูก', 'มะเขือเทศราชินี': 'ตามชอบ', 'เห็ดออรินจิ': 'ตามชอบ', 'น้ำปลา': 'ตามชอบ', 'น้ำตาล': 'ตามชอบ', 'น้ำพริกเผา': '3 ชต', 'น้ำมันพริกเผา': '2 ชต', 'ผักชีฝรั่ง': 'ตามชอบ', 'น้ำสะอาด': 'เว้นวรรคให้ด้วย'}",44.01,184.55,78,2148.99
ต้มเล้งแซ่บ,"{'กระดูกเล้ง': '500 กรัม', 'น้ำสะอาด': '2 ½ ลิตร', 'เกลือ': '1 ช้อนโต๊ะ', 'กระเทียม': '3 กลีบ', 'รากผักชี': '1 รากใหญ่', 'พริกไทย': '1 ช้อนโต๊ะ', 'พริกขี้หนูสวนสีเขียว': '15 เม็ด', 'น้ำมะนาว': '3 ช้อนโต๊ะ', 'น้ำปลา': '3 ช้อนโต๊ะ', 'ผักชีฝรั่ง': '2 ต้น'}",30.01,236.42,61.61,2494.26
ต้มเลือดหมู,"{'เลือดหมูหั่นก้อนพอดีคำ': '1 ก้อน', 'หมูสับหมักกับน้ำตาลทราย ซอสปรุงรส พริกไทย': '150 กรัม', 'เนื้อหมูหั่นบางๆ ลวกสุก': '50 กรัม', 'ตับหมูหั่นบางๆ ลวกสุก': '50 กรัม', 'เต้าหู้หลอด': '1 หลอด', 'ตำลีงเด็ดเอกแต่ยอด ล้างน้ำ ผึ่งให้สะเด็ดน้ำ': '50 กรัม', 'ตั้งฉ่าย': '1 ช้อนโต๊ะ', 'ซุปก้อน': '1 ก้อน', 'คึ่นฉ่ายกับต้นหอมหั่นเป็นท่อนสั้นๆ': '50 กรัม', 'น้ำเปล่า': '1 1/2 ถ้วย', 'น้ำปลา': '1/2 ช้อนโต๊ะ', 'ซอสปรุงรส': '1 ช้อนโต๊ะ'}",101.18,256.43,125.75,3215.59
ต้มหน่อไม้หวานซี่โครงหมู,"{'หน่อไม้หวาน': '1 หัว', 'ซี่โครงหมู': '500 กรัม', 'กุ้งแห้งใหญ่': '1 ถ้วย', 'รากผักชี': '3 ราก', 'กระเทียมจีน': '5 กลีบ', 'พริกไทยเม็ด': 'เล็กน้อย', 'ซุปหมูก้อนคนอร์': '1 ก้อน'}",59.97,29.35,76.9,811.63
ตับหมูผัดใบโหรพา,"{'ตับหมู': '1/2กิโล', 'พริกชี้ฟ้าแดงเขียว': '2-3เม็ด', 'หอมใหญ่': '1หัว', 'โหรภา': '1กำ', 'กระเทียมสับ': '3-5กลีบ', 'พริกกะเหรี่ยงสับ': '5เม็ด', 'น้ำมันหอย': '2ชต', 'ซอสปรุงรส': '2ชต', 'น้ำตาลทราย': '1-2ชช', 'พริกไท': '1ชช', 'น้ำปลา': '1ชต', 'น้ำมัน': '1-2ชต'}",34.38,401.63,179.1,4468.59
