ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ
ข้าวผัดแหนม,"{'ข้าวเย็น': '3 ทัพพี', 'แหนม': '80 กรัม', 'มะนาว': '1/2 ลูก', 'พริกขี้หนู': '5 เม็ด', 'ต้นหอมซอย': '1/4 ถ้วย', 'ขิงอ่อนหั่นเต๋า': '1/4 ถ้วย', 'กระเทียมซอย': '3 กลีบ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำมันสำหรับผัด': '', 'หอมแดงซอย': 'สำหรับแต่งจาน', 'ถั่วคั่ว': 'สำหรับแต่งจาน', 'ผักอื่น ๆ': 'ตามต้องการ'}",57.61,26.41,47.22,657.01,"ข้าวเย็น, 3 ทัพพี
แหนม, 80 กรัม
มะนาว, 1/2 ลูก
พริกขี้หนู, 5 เม็ด
ต้นหอมซอย, 1/4 ถ้วย
ขิงอ่อนหั่นเต๋า, 1/4 ถ้วย
กระเทียมซอย, 3 กลีบ
ซอสหอยนางรม, 1 ช้อนโต๊ะ
น้ำมันสำหรับผัด
หอมแดงซอย ถั่วคั่ว สำหรับแต่งจาน หรือผักอื่น ๆ ตามต้องการ"
ข้าวผัดอเมริกันไข่ข้น,"{'น่องไก่': '2 น่อง', 'เกลือ': 'เล็กน้อย', 'พริกไทย': 'เล็กน้อย', 'แป้งทอดกรอบ': '1/2 ถ้วยตวง', 'ไส้กรอก': 'ตามชอบ', 'หอมหัวใหญ่สับ': '2 ช้อนโต๊ะ', 'กระเทียมสับ': '1 ช้อนโต๊ะ', 'ลูกเกดดำ': '2 ช้อนโต๊ะ', 'ผักสามสี': '3 ช้อนโต๊ะ', 'ข้าวหอมมะลิแช่เย็น': '2 ถ้วย', 'เนยจืด': '2 ช้อนโต๊ะ', 'ซอสมะเขือเทศ': '3 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'ไข่ไก่': '2 ฟอง', 'นมสด': '2 ช้อนโต๊ะ'}",98.14,180.35,155.88,2639.23,"น่องไก่, 2 น่อง
เกลือ เล็กน้อย
พริกไทย เล็กน้อย
แป้งทอดกรอบ, 1/2 ถ้วยตวง
ไส้กรอก ตามชอบ
หอมหัวใหญ่สับ, 2 ช้อนโต๊ะ
กระเทียมสับ, 1 ช้อนโต๊ะ
ลูกเกดดำ, 2 ช้อนโต๊ะ
ผักสามสี, 3 ช้อนโต๊ะ
ข้าวหอมมะลิแช่เย็น, 2 ถ้วย
เกลือ, 1 ช้อนชา
พริกไทยป่น, 1/2 ช้อนชา
เนยจืด, 2 ช้อนโต๊ะ
ซอสมะเขือเทศ, 3 ช้อนโต๊ะ
น้ำตาลทราย, 1 ช้อนโต๊ะ
ซีอิ๊วขาว, 1 ช้อนโต๊ะ
ไข่ไก่, 2 ฟอง
นมสด, 2 ช้อนโต๊ะ
เกลือ, 1/2 ช้อนชา
พริกไทย, 1/2 ช้อนชา"
ข้าวมันกุ้ง,"{'ข้าว': '600 กรัม', 'กุ้งสด (ปอกเปลือกผ่าหลังดึงเส้นดำออก)': '200 กรัม', 'หัวกุ้งและเปลือกกุ้ง': '50 ตัว', 'กระเทียม': '5 กลีบ', 'ขิงหั่น': '3 แว่น', 'รากผักชี': '4 ราก', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'พริกไทยป่น': '1/4 ช้อนชา', 'เกลือป่น': '1/2 ช้อนชา', 'น้ำซุปไก่': '960 มิลลิลิตร', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'น้ำจิ้มซีฟู้ด': 'สำหรับเสิร์ฟเคียง', 'ผักชี': 'สำหรับตกแต่ง'}",32.7,118.94,35.84,1344.62,"ข้าว, 600 กรัม
กุ้งสด (ปอกเปลือกผ่าหลังดึงเส้นดำออก), 200 กรัม
หัวกุ้งและเปลือกกุ้ง, 50 ตัว
กระเทียม, 5 กลีบ
ขิงหั่น, 3 แว่น
รากผักชี, 4 ราก
ซีอิ๊วขาว, 2 ช้อนโต๊ะ
พริกไทยป่น ¼ ช้อนชา
เกลือป่น ½ ช้อนชา
น้ำซุปไก่, 960 มิลลิลิตร
น้ำมันพืช, 2 ช้อนโต๊ะ
น้ำจิ้มซีฟู้ด สำหรับเสิร์ฟเคียง
ผักชี สำหรับตกแต่ง"
ข้าวมันไก่สามสหาย,"{'ข้าวหอมมะลิ': '300 กรัม', 'น้ำซุปกระดูกไก่': '390 มิลลิลิตร', 'กระเทียม': '5-7 กลีบ', 'รากผักชี': '3-5 ราก', 'ขิงแก่': '6 แผ่น', 'น้ำมันพืช': '40 มิลลิลิตร', 'สะโพกไก่': '600 กรัม', 'สามเกลอ': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '3 ช้อนโต๊ะ', 'ซอสปรุงรส': '3 ช้อนโต๊ะ', 'น้ำตาล': '2 ช้อนโต๊ะ', 'แป้งทอดกรอบ': '200 กรัม', 'น้ำสะอาด': '150 มิลลิลิตร', 'เกลือ': '1 ช้อนชา'}",30.1,127.01,52.53,1473.61,"ข้าวหอมมะลิ, 300 กรัม
น้ำซุปกระดูกไก่, 390 มิลลิลิตร
กระเทียม, 4-5 กลีบ
รากผักชี, 4-5 ราก
ขิงแก่ฝานแผ่นบาง, 6 แผ่น
น้ำมันพืช, 40 มิลลิลิตร สะโพกไก่ 600 กรัม แบ่งเป็น 3 ส่วน
สามเกลอ, 2 ช้อนโต๊ะ สำหรับหมักไก่
ซอสหอยนางรม, 3 ช้อนโต๊ะ สำหรับหมักไก่
ซอสปรุงรส, 3 ช้อนโต๊ะ สำหรับหมักไก่
น้ำตาล, 2 ช้อนโต๊ะ สำหรับหมักไก่
แป้งทอดกรอบ, 200 กรัม สำหรับทำไก่ทอด
น้ำสะอาด, 150 มิลลิลิตร สำหรับทำไก่ทอด
เกลือ, 1 ช้อนชา สำหรับทำไก่ต้ม
รากผักชี, 3-5 ราก สำหรับทำไก่ต้ม
กระเทียม, 5-7 กลีบ สำหรับทำไก่ต้ม"
ข้าวหน้าไก่ราชวงศ์,"{'ข้าวหอม': '200 กรัม', 'ไก่': '1 กิโลกรัม', 'ซีอิ๊วขาว (สำหรับน้ำราด)': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว (สำหรับหมัก)': '1 ช้อนโต๊ะ', 'ซีอิ๊วดำหวาน': '3 ช้อนโต๊ะ', 'พริกไทยป่น': '1 ช้อนชา', 'แป้งข้าวโพด (สำหรับหมัก)': '2 ช้อนโต๊ะ', 'แป้งข้าวโพด': '7 ช้อนโต๊ะ', 'น้ำมันงา': '2 ช้อนโต๊ะ', 'น้ำมันพืช': '50 มิลลิลิตร', 'น้ำสต๊อก': '1,600 มิลลิลิตร', 'ซอสปรุงรส': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '3 ช้อนโต๊ะ', 'พริกชี้ฟ้าเขียว': 'สำหรับเสิร์ฟเคียง', 'ผักชี': 'สำหรับเสิร์ฟเคียง'}",58.06,245.86,168.7,3119.78,"ข้าวหอม, 200 กรัม
ไก่, 1 กิโลกรัม
ซีอิ๊วขาว (สำหรับน้ำราด), 2 ช้อนโต๊ะ
ซีอิ๊วขาว (สำหรับหมัก), 1 ช้อนโต๊ะ
ซีอิ๊วดำหวาน, 3 ช้อนโต๊ะ
พริกไทยป่น, 1 ช้อนชา
แป้งข้าวโพด (สำหรับหมัก), 2 ช้อนโต๊ะ
แป้งข้าวโพด, 7 ช้อนโต๊ะ
น้ำมันงา, 2 ช้อนโต๊ะ
น้ำมันพืช, 50 มิลลิลิตร
น้ำสต๊อก, 1,600 มิลลิลิตร
ซอสปรุงรส, 1 ช้อนโต๊ะ
น้ำตาลทราย, 3 ช้อนโต๊ะ
พริกชี้ฟ้าเขียว สำหรับเสิร์ฟเคียง
ผักชี สำหรับเสิร์ฟเคียง"
ข้าวหมูกรอบ,"{'หมูสามชั้น': '1 กิโลกรัม', 'น้ำส้มสายชู': '4 ช้อนโต๊ะ', 'เกลือ': '2 ช้อนชา', 'น้ำมันงา': '1 ช้อนโต๊ะ', 'กระเทียม': '3 กลีบ', 'หอมแดง': '3 หัว', 'รากผักชี': '2 ราก', 'เต้าเจี้ยว': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ข้อนโต๊ะ', 'น้ำตาล': '1 ช้อนโต๊ะ', 'ซีอิ๊วดำ': '1 ช้อนโต๊ะ', 'น้ำซุป': '1 ถ้วยตวง', 'นมสด': '½ ถ้วยตวง', 'แป้งมัน': '2 ช้อนโต๊ะ', 'งาขาว': 'ตามชอบ'}",82.83,197.93,28.06,2224.93,"หมูสามชั้น, 1 กิโลกรัม
น้ำส้มสายชู, 4 ช้อนโต๊ะ
เกลือ, 2 ช้อนชา
น้ำมันงา, 1 ช้อนโต๊ะ
กระเทียม, 3 กลีบ
หอมแดง, 3 หัว
รากผักชี, 2 ราก
เต้าเจี้ยว, 2 ช้อนโต๊ะ
ซอสหอยนางรม, 1 ข้อนโต๊ะ
น้ำตาล, 1 ช้อนโต๊ะ
ซีอิ๊วดำ, 1 ช้อนโต๊ะ
น้ำซุป, 1 ถ้วยตวง
นมสด ½ ถ้วยตวง
แป้งมัน, 2 ช้อนโต๊ะ
งาขาว ตามชอบ"
ข้าวเหนียวน้ำกะทิทุเรียน,"{'ข้าวเหนียวเขี้ยวงู': '1 ถ้วยตวง', 'น้ำสะอาด': '1.25 ถ้วยตวง', 'กะทิคั้นสด': '500 กรัม', 'น้ำตาลทราย': '2 ช้อนโต๊ะ', 'เกลือป่น': '1 ช้อนชา', 'ใบเตย': '3 ใบ', 'ทุเรียนหมอนทองสุกๆ': '110 กรัม (รวมเม็ด)', 'น้ำตาลโตนด': '2 ช้อนโต๊ะ'}",17.47,46.83,295.06,1671.59,"วัตถุดิบสำหรับข้าวเหนียวมูน
ข้าวเหนียวเขี้ยวงู, 1 ถ้วยตวง
น้ำสะอาด, 1.25 ถ้วยตวง
กะทิคั้นสด ¾ ถ้วยตวง
น้ำตาลทราย, 2 ช้อนโต๊ะ
เกลือป่น ½ ช้อนชา
ใบเตย, 2 ใบ
วัตถุดิบสำหรับน้ำกะทิทุเรียน
ทุเรียนหมอนทองสุกๆ, 110 กรัม (รวมเม็ด)
กะทิคั้นสด, 500 กรัม
น้ำตาลโตนด, 2 ช้อนโต๊ะ
น้ำตาลทราย, 2 ช้อนโต๊ะ
เกลือป่น, 1 ช้อนชา
ใบเตย, 3 ใบ"
ข้าวอบกุนเชียง,"{'ข้าวหอม': '200 กรัม', 'น้ำเปล่า': '300 มิลลิลิตร', 'กุนเชียงหั่นแว่น': '1 ถ้วย', 'เห็ดหอม': '5 ดอก', 'แปะก๊วย': '50 กรัม', 'แคร์รอตหั่นเต๋าเล็ก': '50 กรัม', 'คะน้าหั่นชิ้นเล็ก': '70 กรัม', 'ซอสปรุงรส': '1 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '½ ช้อนชา', 'น้ำตาล': '½ ช้อนชา', 'น้ำมันพืช': '½ ช้อนโต๊ะ', 'น้ำมันงา': '1 ช้อนโต๊ะ'}",56.64,426.05,15.37,4122.49,"ข้าวหอม, 200 กรัม
น้ำเปล่า, 300 มิลลิลิตร
กุนเชียงหั่นแว่น, 1 ถ้วย
เห็ดหอม, 5 ดอก
แปะก๊วย, 50 กรัม
แคร์รอตหั่นเต๋าเล็ก, 50 กรัม
คะน้าหั่นชิ้นเล็ก, 70 กรัม
ซอสปรุงรส, 1 ช้อนโต๊ะ
ซอสหอยนางรม, 1 ช้อนโต๊ะ
พริกไทยป่น ½ ช้อนชา
น้ำตาล ½ ช้อนชา
น้ำมันพืช ½ ช้อนโต๊ะ
น้ำมันงา, 1 ช้อนโต๊ะ"
ข้าวอบเบคอน,"{'ข้าว': '300 กรัม', 'เบคอน': '200 กรัม', 'กระเทียมสับ': '2 ช้อนโต๊ะ', 'ซอสปรุงรส': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'พริกไทย': '1 ช้อนชา', 'น้ำเปล่า': '320 มิลลิลิตร', 'ผักสามสีต้ม': '½ ถ้วยตวง', 'ต้นหอมซอย': 'สำหรับโรยหน้า'}",11.95,102.33,28.85,1084.17,"ข้าว, 300 กรัม
เบคอน, 200 กรัม
กระเทียมสับ, 2 ช้อนโต๊ะ
ซอสปรุงรส, 2 ช้อนโต๊ะ
ซอสหอยนางรม, 2 ช้อนโต๊ะ
พริกไทย, 1 ช้อนชา
น้ำเปล่า, 320 มิลลิลิตร
ผักสามสีต้ม ½ ถ้วยตวง
ต้นหอมซอย สำหรับโรยหน้า"
ไข่คน Scrambled egg,"{'ไข่ไก่': '2 ฟอง', 'เนย': 'ไม่ระบุ'}",19.83,129.35,0,1243.47,"ไข่ไก่, 2 ฟอง
เนย"
ไข่เค็มผัดกระเพรา,"{'ไข่เค็ม': '2 ฟอง', 'หมูสับ': 'ครึ่งกิโลกรัม', 'กระเพรา': 'ตามชอบ', 'ถั่วฝักยาว': '3-4 ฝัก', 'น้ำปลา': 'ตามชอบ', 'น้ำตาล': 'ตามชอบ', 'น้ำมันหอย': 'ตามชอบ', 'น้ำพริกเผา': '1 ช้อนโต๊ะ', 'พริกจินดา': '6 เม็ด'}",79.36,256.08,55.46,2844,"ไข่เค็ม:, 2 ฟอง
หมูสับ: ครึ่งกิโลกรัม
กระเพรา: ตามชอบ
ถั่วฝักยาว:, 3-4 ฝัก
น้ำปลา: ตามชอบ
น้ำตาล: ตามชอบ
น้ำมันหอย: ตามชอบ
น้ำพริกเผา:, 1 ช้อนโต๊ะ
พริกจินดา:, 6 เม็ด"
ไข่เจียวกากหมู,"{'ไข่เป็ด': '2 ฟอง', 'กากหมูทอด': 'ตามชอบ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'พริกไทย': 'ตามชอบ'}",29.94,131.83,13.31,1359.47,"ไข่เป็ด:, 2 ฟอง
กากหมูทอด: ตามชอบ
น้ำปลา:, 1 ช้อนโต๊ะ
พริกไทย: ตามชอบ"
ไข่เจียวกุ้ง,"{'ไข่ไก่': '3 ฟอง', 'กุ้งสับหยาบ': '1/4 ถ้วย', 'กุ้งเป็นตัว': '5 ตัว', 'ซีอิ้วขาว': '1 ช้อนชา', 'น้ำมันสำหรับทอด': '1 ช้อนชา', 'พริกไทยป่น(ไม่ใส่ก็ได้)': '1/2 ช้อนชา'}",56.63,59.14,13.31,812.02,"ไข่ไก่:, 3 ฟอง
กุ้งสับหยาบ:, 1/4 ถ้วย
กุ้งเป็นตัว:, 5 ตัว
ซีอิ้วขาว:, 1 ช้อนชา
น้ำมันสำหรับทอด:, 1 ช้อนชา
พริกไทยป่น(ไม่ใส่ก็ได้):, 1/2 ช้อนชา"
ไข่เจียวทรงเครื่องซอสมันกุ้ง,"{'ไข่ไก่': '5 ฟอง', 'น้ำปลา': '1 ช้อนโต๊ะ', 'ซอสปรุงรส': '1 ช้อนโต๊ะ', 'เนื้อกุ้งหั่นชิ้น': '300 กรัม', 'ผงฟู': '1/2 ช้อนชา', 'มันหัวกุ้ง': '3 ช้อนโต๊ะ', 'น้ำสต๊อกไก่': '200 มิลลิลิตร', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1/2 ช้อนโต๊ะ', 'กุ้งลายเสือ': '150 กรัม', 'ผักสามสี': '50 กรัม', 'แป้งข้าวโพดผสมน้ำ': '2 ช้อนโต๊ะ', 'ต้นหอมซอย': 'สำหรับตกแต่ง'}",52.12,245.77,120.87,2903.89,"ไข่ไก่, 5 ฟอง
น้ำปลา, 1 ช้อนโต๊ะ
ซอสปรุงรส, 1 ช้อนโต๊ะ
เนื้อกุ้งหั่นชิ้น, 300 กรัม
ผงฟู, 1/2 ช้อนชา
มันหัวกุ้ง, 3 ช้อนโต๊ะ
น้ำสต๊อกไก่, 200 มิลลิลิตร
ซีอิ๊วขาว, 2 ช้อนโต๊ะ
น้ำตาลทราย ½ ช้อนโต๊ะ
กุ้งลายเสือ, 150 กรัม
ผักสามสี, 50 กรัม
แป้งข้าวโพดผสมน้ำ, 2 ช้อนโต๊ะ
ต้นหอมซอย สำหรับตกแต่ง"
ไข่เจียวทูน่าพริกสับ,"{'ปลาทูน่า': '1 กระป๋อง', 'พริกขี้หนู': '6 เม็ด', 'ไข่ไก่': '2 ฟอง', 'น้ำปลา': 'เล็กน้อย', 'น้ำมันพืช': 'พอประมาณ'}",36.06,343.37,0,3234.57,"ปลาทูน่า:, 1 กระป๋อง
พริกขี้หนู:, 6 เม็ด
ไข่ไก่:, 2 ฟอง
น้ำปลา: เล็กน้อย
น้ำมันพืช: พอประมาณ"
ไข่เจียวสามเกลอ,"{'ไข่ไก่': 3, 'ไข่แดงเค็ม': 5, 'ไข่เยี่ยวม้า': 2, 'หมูสับ': 80, 'กุ้งสับ': 50, 'น้ำปลา': 1, 'ผงปรุงรส': 1}",58.74,159.6,0,1671.36,"ไข่ไก่, 3 ฟอง
ไข่แดงเค็ม, 5 ฟอง
ไข่เยี่ยวม้า, 2 ฟอง
หมูสับ, 80 กรัม
กุ้งสับ, 50 กรัม
น้ำปลา, 1 ช้อนโต๊ะ
ผงปรุงรส, 1 ช้อนชา"
ไข่เจียวหมูสับผัดกะเพรา,"{'ไข่ไก่': '4 ฟอง', 'หมูสับ': '100 กรัม', 'ใบกะเพรา': '50 กรัม', 'พริกสับ': '2 ช้อนโต๊ะ', 'กระเทียมสับ': '2 ช้อนโต๊ะ', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'น้ำตาล': '1 ช้อนชา'}",49.02,151.51,10.4,1601.27,"ไข่ไก่, 4 ฟอง
หมูสับ, 100 กรัม
ใบกะเพรา, 50 กรัม
พริกสับ, 2 ช้อนโต๊ะ
กระเทียมสับ, 2 ช้อนโต๊ะ
ซอสหอยนางรม, 1 ช้อนโต๊ะ
น้ำปลา, 1 ช้อนโต๊ะ
น้ำตาล, 1 ช้อนชา"
ไข่ดองน้ำปลา,"{'ไข่ไก่': '15 ฟอง', 'น้ำปลาดี': '50 กรัม', 'น้ำสะอาด': '500 มิลลิลิตร', 'น้ำตาลมะพร้าว': '25 กรัม', 'พริกขี้หนูเขียว': '20 กรัม', 'พริกจินดาแดง': '20 กรัม', 'กระเทียมจีน': '50 กรัม'}",48.11,169.5,10.4,1759.54,"ไข่ไก่, 15 ฟอง
น้ำปลาดี, 50 กรัม
น้ำสะอาด, 500 มิลลิลิตร
น้ำตาลมะพร้าว, 25 กรัม
พริกขี้หนูเขียว, 20 กรัม
พริกจินดาแดง, 20 กรัม
กระเทียมจีน, 50 กรัม"
ไข่แดงดองน้ำปลากวน,"{'ไข่ไก่': '10 ฟอง', 'น้ำปลาเมกาเชฟ': '1 ถ้วยตวง', 'น้ำตาลมะพร้าว': '50 กรัม', 'น้ำตาลทราย': '50 กรัม', 'น้ำเปล่า': '1 ถ้วยตวง'}",26.39,132.75,95.47,1682.19,"ไข่ไก่, 10 ฟอง
น้ำปลาเมกาเชฟ, 1 ถ้วยตวง
น้ำตาลมะพร้าว, 50 กรัม
น้ำตาลทราย, 50 กรัม
น้ำเปล่า, 1 ถ้วยตวง"
ไข่ตุ๋นแกงเขียวหวาน,"{'ไข่ไก่สด': 'เบอร์ 2 5', 'พริกแกงเขียวหวาน': '', 'น้ำเชื่อม': '1 ช้อนโต๊ะ', 'น้ำปลา': '1 ช้อนโต๊ะ', 'นมสดจืด': '¼ ถ้วยตวง', 'ปูอัด': '50 กรัม', 'ไส้กรอกไก่': '50 กรัม', 'พริกชี้ฟ้าแดง': 'สำหรับตกแต่ง', 'โหระพา': 'สำหรับตกแต่ง'}",56.54,214.3,59.92,2394.54,"ไข่ไก่สด เบอร์, 2 5
พริกแกงเขียวหวาน
น้ำเชื่อม, 1 ช้อนโต๊ะ
น้ำปลา, 1 ช้อนโต๊ะ
นมสดจืด ¼ ถ้วยตวง
ปูอัด, 50 กรัม
ไส้กรอกไก่, 50 กรัม
พริกชี้ฟ้าแดงสำหรับตกแต่ง
โหระพาสำหรับตกแต่ง"
ไข่ตุ๋นทรงเครื่อง,"{'ไข่ไก่': '4 ฟอง', 'ต้นหอมซอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'พริกไทย': '⅛ ช้อนชา', 'น้ำมันพืช': '1 ช้อนโต๊ะ', 'แครอทหั่นเต๋า': '1 ช้อนโต๊ะ', 'กุ้งสับ': '3 ตัว', 'น้ำเปล่า': '150 มิลลิลิตร', 'เห็ดหอมสด': '2 หัว', 'กุ้งขาว': '4 ตัว'}",43.57,335.01,108.78,3624.49,"ไข่ไก่, 4 ฟอง
ต้นหอมซอย, 1 ช้อนโต๊ะ
ซีอิ๊วขาว, 2 ช้อนโต๊ะ
น้ำมันหอย, 1 ช้อนโต๊ะ
น้ำตาลทราย, 1 ช้อนชา
พริกไทย ⅛ ช้อนชา
น้ำมันพืช, 1 ช้อนโต๊ะ
แครอทหั่นเต๋า, 1 ช้อนโต๊ะ
กุ้งสับ, 3 ตัว
น้ำเปล่า, 150 มิลลิลิตร
เห็ดหอมสด, 2 หัว
กุ้งขาว, 4 ตัว
แครอทหั่นชิ้น (สำหรับตกแต่ง)"
ไข่ตุ๋นวุ้นเส้น,"{'วุ้นเส้น': '1 ซอง', 'ไข่ไก่': '7 ฟอง', 'นมสด': '1 ถ้วย', 'กุ้งสับ': '1 ถ้วย', 'แครอท': '¼ ถ้วย', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนชา', 'พริกไทยป่น': '1 ช้อนชา', 'น้ำมันพืช': '1 ช้อนโต๊ะ', 'ต้นหอม': '¼ ถ้วย'}",55.43,135.49,143.78,2016.25,"วุ้นเส้น, 1 ซอง
ไข่ไก่, 7 ฟอง
นมสด, 1 ถ้วย
กุ้งสับ, 1 ถ้วย
แครอท ¼ ถ้วย
ซอสหอยนางรม, 1 ช้อนโต๊ะ
น้ำตาลทราย, 1 ช้อนชา
พริกไทยป่น, 1 ช้อนชา
น้ำมันพืช, 1 ช้อนโต๊ะ
ต้นหอม ¼ ถ้วย
กุ้งสด ตามชอบ"
ไข่เบคอนซ่อนชีส,"{'ไข่ไก่': '4 ฟอง', 'เกลือ': '1/2 ช้อนชา', 'พริกไทย': '1/2 ช้อนชา', 'ชีสมอสซาเรลลา': 'ตามชอบ', 'ชีสเชดดาร์': 'ตามชอบ', 'เบคอน': '5-6 ชิ้น'}",65.97,91.29,24.61,1183.93,"ไข่ไก่, 4 ฟอง
เกลือ, 1/2 ช้อนชา
พริกไทย, 1/2 ช้อนชา
ชีสมอสซาเรลลา ตามชอบ
ชีสเชดดาร์ ตามชอบ
เบคอน, 5-6 ชิ้น"
ไข่พะโล้,"{'ไข่ไก่หรือไข่เป็ด': '6-8 ฟอง', 'ไข่นกกระทา': '15 ฟอง', 'เครื่องพะโล้สำเร็จรูป': '1 ซอง', 'ซีอิ้วดำหวาน': '2 ช้อนโต๊ะ', 'ผักชี': '2 ต้น', 'น้ำมัน': '2 ช้อนโต๊ะ', 'น้ำเปล่า': '1 ลิตร'}",40.79,227.5,0,2210.66,"ไข่ไก่ หรือ ไข่เป็ด, 6-8 ฟอง
ไข่นกกระทา, 15 ฟอง
เครื่องพะโล้สำเร็จรูป, 1 ซอง
ซีอิ้วดำหวาน, 2 ช้อนโต๊ะ
ผักชี, 2 ต้น
น้ำมัน, 2 ช้อนโต๊ะ
น้ำเปล่า, 1 ลิตร"
ไข่ลูกเขย,"{'ไข่เป็ด': '4 ฟอง', 'พริกชี้ฟ้าแห้ง (ทอด)': '10 เม็ด', 'หอมเจียว': '1 ช้อนโต๊ะ', 'ผักชีสำหรับโรยหน้า': '', 'น้ำปลา': '1 ช้อนโต๊ะ', 'น้ำตาลปี๊ป': '3 ช้อนโต๊ะ', 'น้ำมะขามเปียกเข้มข้น': '3 ช้อนโต๊ะ', 'น้ำมันสำหรับทอด': ''}",35.45,137.7,153.8,1996.3,"ไข่เป็ด, 4 ฟอง
พริกชี้ฟ้าแห้ง (ทอด), 10 เม็ด
หอมเจียว, 1 ช้อนโต๊ะ
ผักชีสำหรับโรยหน้า
น้ำปลา, 1 ช้อนโต๊ะ
น้ำตาลปี๊ป, 3 ช้อนโต๊ะ
น้ำมะขามเปียกเข้มข้น, 3 ช้อนโต๊ะ
น้ำมันสำหรับทอด"
ไข่หวานต้นหอมญี่ปุ่น,"{'ต้นหอมญี่ปุ่นอินทรีย์': 200, 'ไข่ไก่': 6, 'โชยุ': 1, 'มิริน': 1, 'น้ำตาล': 1, 'น้ำสะอาด': 50}",32.09,55.67,86.02,973.47,"aro ต้นหอมญี่ปุ่นอินทรีย์, 200 กรัม
ไข่ไก่, 6 ฟอง
โชยุ, 1 ช้อนโต๊ะ
มิริน, 1 ช้อนโต๊ะ
น้ำตาล, 1 ช้อนโต๊ะ
น้ำสะอาด, 50 กรัม"
ไข่หวานสอดไส้ชีส,"{'ไข่ไก่สด เบอร์2': '5 ฟอง', 'น้ำเปล่า': '3 ช้อนโต๊ะ', 'น้ำเชื่อม': '1 ช้อนโต๊ะ', 'เกลือ': '1/4 ช้อนชา', 'พริกไทยดำ': '1/4 ช้อนชา', 'ชีสมอสซาเรลลา': '100 กรัม', 'น้ำมันถั่วเหลือง': '3 ช้อนโต๊ะ', 'ต้นหอม': 'สำหรับตกแต่ง', 'ซอสมะเขือเทศ': 'สำหรับกินคู่ตามชอบ'}",53.13,266.07,73.5,2901.15,"ไข่ไก่สด เบอร์, 2 5 ฟอง
น้ำเปล่า, 3 ช้อนโต๊ะ
น้ำเชื่อม, 1 ช้อนโต๊ะ
เกลือ ¼ ช้อนชา
พริกไทยดำ ¼ ช้อนชา
ชีสมอสซาเรลลา, 100 กรัม
น้ำมันถั่วเหลือง, 3 ช้อนโต๊ะ
ต้นหอมสำหรับตกแต่ง
ซอสมะเขือเทศ สำหรับกินคู่ตามชอบ"
ไข่ออมเล็ต,"{'ไข่ไก่': '3 ฟอง', 'นม': '1/4 ถ้วย', 'ผงปรุงรส': '1 ช้อนชา', 'โบโลน่า': '2 แผ่น', 'หัวหอม': '1/4 หัว', 'มะเขือเทศ': '1 ลูก', 'เนย': '1 ช้อนชา'}",27.74,145.99,78.09,1737.23,"ไข่ไก่, 3 ฟอง
นม, 1/4 ถ้วย
ผงปรุงรส, 1 ช้อนชา
โบโลน่า, 2 แผ่น
หัวหอม, 1/4 หัว
มะเขือเทศ, 1 ลูก
เนย, 1 ช้อนชา"
คอนเฟลกคาราเมล,"{'คอนเฟลก': '300 กรัม', 'ถั่วต่างๆกับผลไม้อบแห้ง': 'ไม่เกิน 250 กรัม', 'น้ำตาล': '70 กรัม', 'เกลือป่น': '1/2 ช้อนชา', 'วิปปิ้งครีมหรือนมสด': '40 กรัม', 'น้ำผึ้ง': '35 กรัม', 'เนยจืด': '60 กรัม', 'กลิ่นวนิลา': '1/2 ช้อนชา'}",98.85,130.92,27.47,1683.56,"คอนเฟลก, 300 กรัม
ถั่วต่างๆกับผลไม้อบแห้งน้ำหนักรวมกันไม่เกิน, 250 กรัม
น้ำตาล, 70 กรัม
เกลือป่น, 1/2 ช้อนชา
วิปปิ้งครีมหรือนมสด, 40 กรัม
น้ำผึ้ง, 35 กรัม
เนยจืด, 60 กรัม
กลิ่นวนิลา, 1/2 ช้อนชา"
